Label,S_time,M_size,V_size,M_int,V_int
483,1604473266.376258,857.0,0.0,0.0,0.0
483,1604473266.376258,857.0,0.0,0.0,0.0
483,1604473266.376258,857.0,0.0,0.0,0.0
483,1604473266.376258,857.0,0.0,0.0,0.0
483,1604473266.376258,857.0,0.0,0.0,0.0
483,1604473266.376258,857.0,0.0,0.0,0.0
483,1604473266.376258,857.0,0.0,0.0,0.0
483,1604473266.376258,857.0,0.0,0.0,0.0
483,1604473266.376258,859.0,4.0,44.2025580406189,0.0
483,1604476648.57507,854.0,0.0,0.0,0.0
483,1604473899.59871,861.0,0.0,0.0,0.0
483,1604474757.879115,863.0,0.0,0.0,0.0
483,1604474761.932755,865.0,0.0,0.0,0.0
483,1604473464.602117,865.0,0.0,0.0,0.0
483,1604476123.123155,860.0,0.0,0.0,0.0
483,1604476154.718675,858.0,0.0,0.0,0.0
483,1604474629.595247,860.0,0.0,0.0,0.0
483,1604477029.154676,862.0,0.0,0.0,0.0
483,1604475043.43472,862.0,0.0,0.0,0.0
483,1604473305.71088,857.0,0.0,0.0,0.0
483,1604475005.043892,854.0,0.0,0.0,0.0
483,1604476188.251366,857.0,0.0,0.0,0.0
483,1604475346.972141,854.0,0.0,0.0,0.0
483,1604475022.754738,863.0,0.0,0.0,0.0
483,1604473881.848168,858.0,0.0,0.0,0.0
483,1604476041.682666,861.0,0.0,0.0,0.0
483,1604474675.304631,859.0,0.0,0.0,0.0
483,1604475344.708085,858.0,0.0,0.0,0.0
483,1604475066.202734,860.0,0.0,0.0,0.0
483,1604475738.24629,855.0,0.0,0.0,0.0
483,1604476184.75985,860.0,0.0,0.0,0.0
483,1604474836.925545,850.0,0.0,0.0,0.0
483,1604476113.919085,863.0,0.0,0.0,0.0
483,1604475830.942741,853.0,0.0,0.0,0.0
483,1604474803.567441,861.0,0.0,0.0,0.0
483,1604476177.602791,863.0,0.0,0.0,0.0
483,1604473533.511404,862.0,0.0,0.0,0.0
483,1604474879.182743,866.0,0.0,0.0,0.0
483,1604475143.466696,860.0,0.0,0.0,0.0
483,1604475959.280068,856.0,0.0,0.0,0.0
483,1604474394.666279,853.0,0.0,0.0,0.0
483,1604476195.490731,858.0,0.0,0.0,0.0
483,1604473915.732096,860.0,0.0,0.0,0.0
483,1604475903.420792,860.0,0.0,0.0,0.0
483,1604474861.890269,858.0,0.0,0.0,0.0
483,1604475286.334748,871.0,0.0,0.0,0.0
483,1604473480.856414,861.0,0.0,0.0,0.0
483,1604473984.808147,860.0,0.0,0.0,0.0
483,1604474711.05426,857.0,0.0,0.0,0.0
483,1604474984.696321,859.0,0.0,0.0,0.0
483,1604474892.022706,857.0,0.0,0.0,0.0
483,1604475271.455769,858.0,0.0,0.0,0.0
483,1604474893.267193,853.0,0.0,0.0,0.0
483,1604476548.014473,859.0,0.0,0.0,0.0
483,1604473299.317936,862.0,0.0,0.0,0.0
483,1604473299.317936,862.0,0.0,0.0,0.0
