Label,S_time,M_size,V_size,M_int,V_int
201,1597550497.774382,404.6666666666667,89.55555555555554,3.1568078994750977,0.0010123795912022615
201,1597550572.046729,395.0,0.0,0.0,0.0
201,1597550569.099407,403.0,0.0,0.0,0.0
201,1597550497.726426,402.6666666666667,22.88888888888889,3.771197557449341,1.2852678812932936
201,1597550519.868548,404.0,0.0,0.0,0.0
201,1597550499.714836,402.5,6.25,3.8782880306243896,0.0
201,1597550505.712237,407.0,0.0,0.0,0.0
201,1597550497.694398,409.3333333333333,16.88888888888889,4.927496075630188,3.3290341524975844
201,1597550503.45676,401.0,16.0,8.920039176940918,0.0
201,1597550563.945132,405.0,0.0,0.0,0.0
201,1597550559.889093,410.0,0.0,0.0,0.0
201,1597550521.442587,401.0,0.0,0.0,0.0
201,1597550499.574144,410.0,0.6666666666666666,3.2412420511245728,0.0020735419102635433
201,1597550525.703828,412.0,0.0,0.0,0.0
201,1597550525.808719,411.0,0.0,0.0,0.0
201,1597550499.372632,402.6666666666667,6.888888888888888,3.617572546005249,1.3530101608944847
201,1597550510.087926,408.0,0.0,0.0,0.0
201,1597550538.901925,410.0,0.0,0.0,0.0
201,1597550499.62222,415.0,0.0,4.330540895462036,0.0
201,1597550499.725259,410.6666666666667,24.88888888888889,4.309430956840515,0.10621870863191418
201,1597550516.141433,400.0,0.0,0.0,0.0
201,1597550534.027595,404.0,0.0,0.0,0.0
201,1597555137.36403,399.0,0.0,0.0,0.0
201,1597550512.115626,401.0,0.0,0.0,0.0
201,1597550561.727182,397.0,0.0,0.0,0.0
201,1597555129.850961,405.0,0.0,0.0,0.0
201,1597550504.854913,409.5,6.25,9.889741897583008,0.0
201,1597550513.771804,403.0,0.0,0.0,0.0
201,1597550506.167363,411.0,0.0,0.0,0.0
201,1597550497.80366,403.0,18.0,4.6414555311203,4.365218477597196
201,1597550503.88552,409.0,36.0,8.887213945388794,0.0
201,1597550510.837528,399.0,0.0,0.0,0.0
