Label,S_time,M_size,V_size,M_int,V_int
303,1600498504.196685,314.0,0.0,0.0,0.0
303,1600495678.027447,320.0,0.0,0.0,0.0
303,1600497249.558727,316.0,0.0,0.0,0.0
303,1600497280.315407,331.0,0.0,0.0,0.0
303,1600495675.846082,318.0,0.0,0.0,0.0
303,1600495824.596107,314.0,0.0,0.0,0.0
303,1600495662.053618,318.0,0.0,0.0,0.0
303,1600497380.924339,325.0,0.0,0.0,0.0
303,1600497521.859745,320.0,0.0,0.0,0.0
303,1600495672.929676,329.0,0.0,0.0,0.0
303,1600497455.835219,323.0,0.0,0.0,0.0
303,1600495723.183122,315.0,0.0,0.0,0.0
303,1600495758.019666,324.0,0.0,0.0,0.0
303,1600495714.914763,330.0,0.0,0.0,0.0
303,1600498561.543437,329.0,0.0,0.0,0.0
303,1600495720.555207,312.0,0.0,0.0,0.0
303,1600495681.094929,334.0,0.0,0.0,0.0
303,1600498015.008024,320.0,0.0,0.0,0.0
303,1600495688.259796,329.0,0.0,0.0,0.0
303,1600497366.808229,318.0,0.0,0.0,0.0
303,1600496868.200558,319.0,0.0,0.0,0.0
303,1600497264.546791,320.0,0.0,0.0,0.0
303,1600495652.398985,321.0,4.0,4.722501039505005,0.0
303,1600498558.268727,323.0,0.0,0.0,0.0
303,1600496453.314809,312.0,0.0,0.0,0.0
303,1600496894.092784,310.0,0.0,0.0,0.0
303,1600497396.536036,327.0,0.0,0.0,0.0
303,1600495702.409331,326.0,0.0,0.0,0.0
303,1600498062.463736,329.0,0.0,0.0,0.0
303,1600495678.904629,321.0,0.0,0.0,0.0
303,1600497509.894428,313.0,0.0,0.0,0.0
303,1600498042.600353,332.0,0.0,0.0,0.0
303,1600498082.032466,330.0,0.0,0.0,0.0
303,1600495673.517659,334.0,0.0,0.0,0.0
303,1600495736.848382,320.0,0.0,0.0,0.0
303,1600496562.564033,319.0,0.0,0.0,0.0
303,1600495676.83283,319.0,0.0,0.0,0.0
303,1600495652.36191,332.0,25.0,4.898505926132202,0.0
303,1600495682.779588,321.0,0.0,0.0,0.0
303,1600495719.91088,330.0,0.0,0.0,0.0
303,1600498542.679231,312.0,0.0,0.0,0.0
303,1600497363.130796,326.0,0.0,0.0,0.0
303,1600498025.273932,316.0,0.0,0.0,0.0
303,1600496884.412423,324.0,0.0,0.0,0.0
303,1600498104.320928,327.0,0.0,0.0,0.0
303,1600495674.220198,310.0,0.0,0.0,0.0
303,1600498576.181538,328.0,0.0,0.0,0.0
303,1600495664.808145,332.0,0.0,0.0,0.0
303,1600496879.403788,322.0,0.0,0.0,0.0
303,1600496775.064912,319.0,0.0,0.0,0.0
303,1600495705.159702,310.0,0.0,0.0,0.0
303,1600495652.369015,320.0,4.0,4.755423069000244,0.0
303,1600495706.325869,320.0,0.0,0.0,0.0
303,1600495696.582868,316.0,0.0,0.0,0.0
303,1600495673.071278,320.0,0.0,0.0,0.0
303,1600495652.346871,319.5,56.25,4.749720096588135,0.0
303,1600495686.015881,330.0,0.0,0.0,0.0
303,1600498583.569711,318.0,0.0,0.0,0.0
303,1600496432.571956,319.0,0.0,0.0,0.0
303,1600495742.003152,316.0,0.0,0.0,0.0
303,1600495682.960915,315.0,0.0,0.0,0.0
303,1600496865.430815,323.0,0.0,0.0,0.0
303,1600495736.695557,319.0,0.0,0.0,0.0
303,1600495676.780233,314.0,0.0,0.0,0.0
303,1600498521.631143,323.0,0.0,0.0,0.0
303,1600498115.002166,321.0,0.0,0.0,0.0
303,1600495673.699388,306.0,0.0,0.0,0.0
303,1600496553.743305,312.0,0.0,0.0,0.0
303,1600495728.032256,333.0,0.0,0.0,0.0
303,1600495709.898986,339.0,0.0,0.0,0.0
303,1600495667.273229,318.0,0.0,0.0,0.0
303,1600495683.219468,323.0,0.0,0.0,0.0
303,1600495668.790461,319.0,0.0,0.0,0.0
303,1600498511.065455,319.0,0.0,0.0,0.0
303,1600497430.341614,317.0,0.0,0.0,0.0
303,1600496312.461252,317.0,0.0,0.0,0.0
303,1600497475.219947,319.0,0.0,0.0,0.0
303,1600498450.153067,325.0,0.0,0.0,0.0
303,1600495720.99864,334.0,0.0,0.0,0.0
303,1600496897.265214,318.0,0.0,0.0,0.0
303,1600498150.516131,309.0,0.0,0.0,0.0
303,1600497990.770582,325.0,0.0,0.0,0.0
303,1600497358.207407,326.0,0.0,0.0,0.0
303,1600497375.058815,320.0,0.0,0.0,0.0
303,1600496261.083732,326.0,0.0,0.0,0.0
303,1600495712.689052,336.0,0.0,0.0,0.0
303,1600498118.959972,323.0,0.0,0.0,0.0
303,1600497381.69483,315.0,0.0,0.0,0.0
303,1600497370.530798,323.0,0.0,0.0,0.0
303,1600495700.15954,325.0,0.0,0.0,0.0
303,1600495670.954916,337.0,0.0,0.0,0.0
303,1600497462.761975,322.0,0.0,0.0,0.0
303,1600498433.300617,323.0,0.0,0.0,0.0
303,1600497278.650718,326.0,0.0,0.0,0.0
303,1600495652.315901,320.5,12.25,4.785697937011719,0.0
303,1600497518.467752,318.0,0.0,0.0,0.0
303,1600496437.312196,321.0,0.0,0.0,0.0
303,1600497392.858811,314.0,0.0,0.0,0.0
303,1600495698.32196,328.0,0.0,0.0,0.0
303,1600495719.838837,327.0,0.0,0.0,0.0
303,1600496516.201101,320.0,0.0,0.0,0.0
303,1600495661.278725,316.0,0.0,0.0,0.0
303,1600495688.510926,315.0,0.0,0.0,0.0
303,1600497363.990744,312.0,0.0,0.0,0.0
303,1600495666.270861,316.0,0.0,0.0,0.0
303,1600495671.197046,312.0,0.0,0.0,0.0
303,1600496286.206329,321.0,0.0,0.0,0.0
303,1600495809.004888,318.0,0.0,0.0,0.0
303,1600498507.398235,319.0,0.0,0.0,0.0
303,1600495666.460906,330.0,0.0,0.0,0.0
303,1600498467.88324,303.0,0.0,0.0,0.0
303,1600496427.964114,330.0,0.0,0.0,0.0
303,1600498547.554006,328.0,0.0,0.0,0.0
303,1600495700.07963,328.0,0.0,0.0,0.0
303,1600496857.513831,314.0,0.0,0.0,0.0
303,1600495661.098753,322.0,0.0,0.0,0.0
303,1600497977.658734,316.0,0.0,0.0,0.0
303,1600495670.605397,314.0,0.0,0.0,0.0
303,1600497998.103361,328.0,0.0,0.0,0.0
303,1600497271.278851,327.0,0.0,0.0,0.0
303,1600495751.708374,324.0,0.0,0.0,0.0
303,1600495654.993189,324.0,0.0,0.0,0.0
303,1600498485.661062,327.0,0.0,0.0,0.0
303,1600495678.089364,314.0,0.0,0.0,0.0
303,1600495680.991765,320.0,0.0,0.0,0.0
303,1600497248.81987,310.0,0.0,0.0,0.0
303,1600497245.018731,323.0,0.0,0.0,0.0
303,1600496282.401963,326.0,0.0,0.0,0.0
303,1600498529.191145,322.0,0.0,0.0,0.0
303,1600496376.343209,331.0,0.0,0.0,0.0
303,1600497390.014776,329.0,0.0,0.0,0.0
303,1600495672.50548,331.0,0.0,0.0,0.0
303,1600495668.401195,322.0,0.0,0.0,0.0
303,1600495668.138939,317.0,0.0,0.0,0.0
303,1600497573.232546,323.0,0.0,0.0,0.0
303,1600495721.131537,315.0,0.0,0.0,0.0
303,1600496802.858742,324.0,0.0,0.0,0.0
303,1600497252.488014,325.0,0.0,0.0,0.0
303,1600497267.53075,323.0,0.0,0.0,0.0
303,1600496323.713051,321.0,0.0,0.0,0.0
303,1600498085.933678,326.0,0.0,0.0,0.0
303,1600497257.010727,321.0,0.0,0.0,0.0
303,1600495674.983798,308.0,0.0,0.0,0.0
303,1600497506.512863,315.0,0.0,0.0,0.0
303,1600497378.0068,318.0,0.0,0.0,0.0
303,1600495668.139229,332.0,0.0,0.0,0.0
303,1600495710.739941,323.0,0.0,0.0,0.0
303,1600496841.68438,320.0,0.0,0.0,0.0
303,1600495668.51488,324.0,0.0,0.0,0.0
303,1600496816.847275,316.0,0.0,0.0,0.0
303,1600495693.766837,324.0,0.0,0.0,0.0
303,1600498059.054479,316.0,0.0,0.0,0.0
303,1600495667.029709,312.0,0.0,0.0,0.0
303,1600495723.296168,313.0,0.0,0.0,0.0
303,1600495667.094892,310.0,0.0,0.0,0.0
303,1600497245.810692,315.0,0.0,0.0,0.0
303,1600497275.738716,323.0,0.0,0.0,0.0
303,1600497374.214828,324.0,0.0,0.0,0.0
303,1600496303.183516,310.0,0.0,0.0,0.0
303,1600495686.803388,328.0,0.0,0.0,0.0
303,1600495811.540957,323.0,0.0,0.0,0.0
303,1600498157.749368,309.0,0.0,0.0,0.0
303,1600496392.391688,322.0,0.0,0.0,0.0
303,1600496328.495843,317.0,0.0,0.0,0.0
303,1600496491.877636,330.0,0.0,0.0,0.0
303,1600497534.166404,328.0,0.0,0.0,0.0
303,1600498078.255539,330.0,0.0,0.0,0.0
303,1600498122.854999,320.0,0.0,0.0,0.0
303,1600495765.761789,314.0,0.0,0.0,0.0
303,1600496367.712929,327.0,0.0,0.0,0.0
303,1600495651.336671,319.0,100.0,4.806261777877808,0.0
303,1600497263.790761,317.0,0.0,0.0,0.0
303,1600495662.702601,325.0,0.0,0.0,0.0
303,1600496416.858783,339.0,0.0,0.0,0.0
303,1600496511.8529,329.0,0.0,0.0,0.0
303,1600497275.029858,308.0,0.0,0.0,0.0
303,1600495801.700479,325.0,0.0,0.0,0.0
303,1600497260.774712,319.0,0.0,0.0,0.0
303,1600495676.090935,322.0,0.0,0.0,0.0
303,1600496827.361905,326.0,0.0,0.0,0.0
303,1600495704.662321,326.0,0.0,0.0,0.0
303,1600495715.930892,331.0,0.0,0.0,0.0
303,1600495681.791673,324.0,0.0,0.0,0.0
303,1600497384.620444,312.0,0.0,0.0,0.0
303,1600497257.879379,333.0,0.0,0.0,0.0
303,1600498493.846534,315.0,0.0,0.0,0.0
303,1600498049.714746,320.0,0.0,0.0,0.0
303,1600497369.776397,323.0,0.0,0.0,0.0
303,1600497362.417948,321.0,0.0,0.0,0.0
303,1600498423.20053,328.0,0.0,0.0,0.0
303,1600496412.368273,319.0,0.0,0.0,0.0
303,1600496838.821127,315.0,0.0,0.0,0.0
303,1600497286.118741,320.0,0.0,0.0,0.0
303,1600497385.384171,321.0,0.0,0.0,0.0
303,1600497981.54903,318.0,0.0,0.0,0.0
303,1600496771.575852,311.0,0.0,0.0,0.0
303,1600497373.472527,328.0,0.0,0.0,0.0
303,1600497458.793347,325.0,0.0,0.0,0.0
303,1600495673.604096,334.0,0.0,0.0,0.0
303,1600496333.78478,323.0,0.0,0.0,0.0
303,1600495677.095555,327.0,0.0,0.0,0.0
303,1600496912.027932,319.0,0.0,0.0,0.0
303,1600496291.653937,321.0,0.0,0.0,0.0
303,1600497367.678769,316.0,0.0,0.0,0.0
303,1600497471.522256,327.0,0.0,0.0,0.0
303,1600496871.577869,333.0,0.0,0.0,0.0
303,1600496901.048611,319.0,0.0,0.0,0.0
303,1600498033.326876,315.0,0.0,0.0,0.0
303,1600496796.480026,316.0,0.0,0.0,0.0
303,1600495674.858242,324.0,0.0,0.0,0.0
303,1600495687.632016,328.0,0.0,0.0,0.0
303,1600495670.097612,309.0,0.0,0.0,0.0
303,1600495675.869512,321.0,0.0,0.0,0.0
303,1600497371.376466,318.0,0.0,0.0,0.0
303,1600495663.271766,324.0,0.0,0.0,0.0
303,1600497272.05476,321.0,0.0,0.0,0.0
303,1600496407.871879,329.0,0.0,0.0,0.0
303,1600495663.283512,326.0,0.0,0.0,0.0
303,1600496307.536646,312.0,0.0,0.0,0.0
303,1600495717.669773,333.0,0.0,0.0,0.0
303,1600495717.022862,323.0,0.0,0.0,0.0
303,1600495653.434773,325.0,0.0,4.820024013519287,0.0
303,1600495795.576138,316.0,0.0,0.0,0.0
303,1600496458.284731,328.0,0.0,0.0,0.0
303,1600497388.360389,321.0,0.0,0.0,0.0
303,1600497525.589166,318.0,0.0,0.0,0.0
303,1600495667.714911,321.0,0.0,0.0,0.0
303,1600497993.588314,327.0,0.0,0.0,0.0
303,1600495773.013176,318.0,0.0,0.0,0.0
303,1600495710.879508,318.0,0.0,0.0,0.0
303,1600495707.664754,325.0,0.0,0.0,0.0
303,1600495653.455884,319.0,9.0,4.798878908157349,0.0
303,1600495715.919517,313.0,0.0,0.0,0.0
303,1600495657.380216,315.0,0.0,0.0,0.0
303,1600495683.786105,324.0,0.0,0.0,0.0
303,1600498579.581963,321.0,0.0,0.0,0.0
303,1600496909.133986,332.0,0.0,0.0,0.0
303,1600497389.13084,325.0,0.0,0.0,0.0
303,1600496537.330243,316.0,0.0,0.0,0.0
303,1600496270.039936,325.0,0.0,0.0,0.0
303,1600496581.501748,314.0,0.0,0.0,0.0
303,1600495768.963244,318.0,0.0,0.0,0.0
303,1600495682.414808,324.0,0.0,0.0,0.0
303,1600496371.666744,313.0,0.0,0.0,0.0
303,1600495661.455845,324.0,0.0,0.0,0.0
303,1600497397.367182,322.0,0.0,0.0,0.0
303,1600495661.85089,318.0,0.0,0.0,0.0
303,1600495661.098465,317.0,0.0,0.0,0.0
303,1600497393.714798,321.0,0.0,0.0,0.0
303,1600495690.207638,313.0,0.0,0.0,0.0
303,1600495662.067011,325.0,0.0,0.0,0.0
303,1600495663.450839,323.0,0.0,0.0,0.0
303,1600495685.109931,326.0,0.0,0.0,0.0
303,1600498475.686149,320.0,0.0,0.0,0.0
303,1600498471.865487,329.0,0.0,0.0,0.0
303,1600495707.823002,314.0,0.0,0.0,0.0
303,1600495664.258052,323.0,0.0,0.0,0.0
303,1600497490.873858,318.0,0.0,0.0,0.0
303,1600495693.851769,327.0,0.0,0.0,0.0
303,1600497392.101061,320.0,0.0,0.0,0.0
303,1600495692.019532,328.0,0.0,0.0,0.0
303,1600495663.134795,325.0,0.0,0.0,0.0
303,1600495676.472426,320.0,0.0,0.0,0.0
303,1600495668.526853,330.0,0.0,0.0,0.0
303,1600496500.614271,329.0,0.0,0.0,0.0
303,1600497246.687441,319.0,0.0,0.0,0.0
303,1600498436.708794,322.0,0.0,0.0,0.0
303,1600495711.351981,317.0,0.0,0.0,0.0
303,1600496495.815014,310.0,0.0,0.0,0.0
303,1600495732.908898,318.0,0.0,0.0,0.0
303,1600497259.998712,328.0,0.0,0.0,0.0
303,1600498140.330793,326.0,0.0,0.0,0.0
303,1600497359.154771,316.0,0.0,0.0,0.0
303,1600495681.553051,319.0,0.0,0.0,0.0
303,1600495781.069802,324.0,0.0,0.0,0.0
303,1600498525.228184,335.0,0.0,0.0,0.0
303,1600497478.78245,325.0,0.0,0.0,0.0
303,1600495827.491737,320.0,0.0,0.0,0.0
303,1600495651.373433,317.0,16.0,4.877652883529663,0.0
303,1600495653.467192,327.0,25.0,4.787646055221558,0.0
303,1600498539.08311,326.0,0.0,0.0,0.0
303,1600495653.485121,323.5,0.25,4.891191005706787,0.0
303,1600498045.899508,318.0,0.0,0.0,0.0
303,1600496474.876176,303.0,0.0,0.0,0.0
303,1600495712.739973,316.0,0.0,0.0,0.0
303,1600495671.200983,322.0,0.0,0.0,0.0
303,1600497494.337676,321.0,0.0,0.0,0.0
303,1600498011.167809,320.0,0.0,0.0,0.0
303,1600496397.010644,315.0,0.0,0.0,0.0
303,1600496830.790408,322.0,0.0,0.0,0.0
303,1600496479.783549,326.0,0.0,0.0,0.0
303,1600495669.617945,316.0,0.0,0.0,0.0
303,1600495742.182799,308.0,0.0,0.0,0.0
303,1600497540.899636,327.0,0.0,0.0,0.0
303,1600496786.003215,334.0,0.0,0.0,0.0
303,1600495717.050892,313.0,0.0,0.0,0.0
303,1600495675.722038,311.0,0.0,0.0,0.0
303,1600495714.918822,328.0,0.0,0.0,0.0
303,1600497487.840091,326.0,0.0,0.0,0.0
303,1600498099.31972,325.0,0.0,0.0,0.0
303,1600496557.788927,321.0,0.0,0.0,0.0
303,1600495696.459001,327.0,0.0,0.0,0.0
303,1600498565.576478,312.0,0.0,0.0,0.0
303,1600495666.027,324.0,0.0,0.0,0.0
303,1600496345.056068,323.0,0.0,0.0,0.0
303,1600498489.992824,323.0,0.0,0.0,0.0
303,1600497386.230787,316.0,0.0,0.0,0.0
303,1600495712.066935,328.0,0.0,0.0,0.0
303,1600495704.954906,323.0,0.0,0.0,0.0
303,1600498007.8733,307.0,0.0,0.0,0.0
303,1600497566.711783,327.0,0.0,0.0,0.0
303,1600495700.748599,323.0,0.0,0.0,0.0
