Time,Correct,Real cid,Classified cid,Score,Percentage,Queue Distribution
7954,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 2}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 10}}"
8103,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 2}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 11}}"
8270,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 2}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 12}}"
8313,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 2}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 13}}"
8391,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 2}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 14}}"
8426,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 2}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 15}}"
8514,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 2}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 16}}"
8882,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 2}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 17}}"
9353,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 2}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 18}}"
9430,False,56.0,20.0,0.15552793525987202,0.7,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 3}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 18}}"
9513,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 3}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 19}}"
9548,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 3}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 20}}"
9648,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 3}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 21}}"
9664,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 3}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 22}}"
9685,False,56.0,20.0,0.15276414528489113,0.6363636363636364,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 4}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 22}}"
9700,True,56.0,56.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7, 56.0: 4}, 55.0: {55.0: 13}, 59.0: {59.0: 2}, 56.0: {56.0: 23}}"
