timer,real cid,global size,mapping size,local sizes,queue sizes
9960,252.0,2587468.0,2582236.0,"[2532464.0, 49772.0]","[150, 3]"
11768,252.0,3635355.0,4309893.0,"[3393363.0, 916530.0]","[200, 19]"
17018,252.0,4574029.0,5623765.0,"[1762169.0, 3861596.0]","[50, 227]"
48497,344.0,6711252.0,6709616.0,"[3059412.0, 3650204.0]","[50, 19]"
86524,344.0,10844904.0,7693689.0,"[7571298.0, 122391.0]","[200, 1]"
92335,344.0,11447566.0,8295819.0,"[8173428.0, 122391.0]","[250, 1]"
