Time,Real cid,Classified cid,Score,Queue Distribution,Representive,Percentage,Queue Size,Dominated
153,39.0,39.0,-1,{39.0: {39.0: 1}},True,1.0,1,True
163,39.0,39.0,0.23807509243488312,{39.0: {39.0: 2}},True,1.0,2,True
228,39.0,39.0,0.23727136105298996,{39.0: {39.0: 3}},True,1.0,3,True
232,39.0,39.0,0.23676736652851105,{39.0: {39.0: 4}},True,1.0,4,True
350,39.0,39.0,0.2131655029952526,{39.0: {39.0: 5}},True,1.0,5,True
366,39.0,39.0,0.21113718450069427,{39.0: {39.0: 6}},True,1.0,6,True
386,39.0,39.0,0.23644197235504785,{39.0: {39.0: 7}},True,1.0,7,True
387,39.0,39.0,0.2353342537369047,{39.0: {39.0: 8}},True,1.0,8,True
388,39.0,39.0,0.23289144784212112,{39.0: {39.0: 9}},True,1.0,9,True
478,39.0,39.0,0.2329674694273207,{39.0: {39.0: 10}},True,1.0,10,True
490,39.0,39.0,0.22544716000556947,{39.0: {39.0: 11}},True,1.0,11,True
629,39.0,39.0,0.23370808769356122,{39.0: {39.0: 12}},True,1.0,12,True
630,39.0,39.0,0.23491807281970978,{39.0: {39.0: 13}},True,1.0,13,True
631,39.0,39.0,0.2353453143284871,{39.0: {39.0: 14}},True,1.0,14,True
632,39.0,39.0,0.23424930338348662,{39.0: {39.0: 15}},True,1.0,15,True
633,39.0,39.0,0.23215481340885163,{39.0: {39.0: 16}},True,1.0,16,True
926,39.0,39.0,0.23586704023182392,{39.0: {39.0: 17}},True,1.0,17,True
1141,39.0,39.0,0.231723716153818,{39.0: {39.0: 18}},True,1.0,18,True
1142,39.0,39.0,0.23557201359007093,{39.0: {39.0: 19}},True,1.0,19,True
1171,39.0,39.0,0.23317080657733114,{39.0: {39.0: 20}},True,1.0,20,True
1172,39.0,39.0,0.23576359525322915,{39.0: {39.0: 21}},True,1.0,21,True
1173,39.0,39.0,0.23411023020744323,{39.0: {39.0: 22}},True,1.0,22,True
1188,39.0,39.0,0.2352683089673519,{39.0: {39.0: 23}},True,1.0,23,True
1217,39.0,39.0,0.23545107692480088,{39.0: {39.0: 24}},True,1.0,24,True
1415,39.0,39.0,0.2346427097916603,{39.0: {39.0: 25}},True,1.0,25,True
1416,39.0,39.0,0.23611246645450593,{39.0: {39.0: 26}},True,1.0,26,True
1417,39.0,39.0,0.2362116329371929,{39.0: {39.0: 27}},True,1.0,27,True
1418,39.0,39.0,0.23538556545972825,{39.0: {39.0: 28}},True,1.0,28,True
1911,39.0,39.0,0.2352366030216217,{39.0: {39.0: 29}},True,1.0,29,True
1998,39.0,39.0,0.22782230675220488,{39.0: {39.0: 30}},True,1.0,30,True
1999,39.0,39.0,0.23553735613822938,{39.0: {39.0: 31}},True,1.0,31,True
2025,39.0,39.0,0.22259646728634835,{39.0: {39.0: 32}},True,1.0,32,True
2027,39.0,39.0,0.23533353805541993,{39.0: {39.0: 33}},True,1.0,33,True
2064,39.0,39.0,0.2364073872566223,{39.0: {39.0: 34}},True,1.0,34,True
2066,39.0,39.0,0.23641552403569221,{39.0: {39.0: 35}},True,1.0,35,True
2070,39.0,39.0,0.23407370150089263,{39.0: {39.0: 36}},True,1.0,36,True
2091,39.0,39.0,0.234561225771904,{39.0: {39.0: 37}},True,1.0,37,True
2204,25.0,25.0,-1,"{39.0: {39.0: 37}, 25.0: {25.0: 1}}",True,1.0,1,True
2975,55.0,55.0,-1,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 1}}",True,1.0,1,True
2976,55.0,55.0,0.09190433472394943,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 2}}",True,1.0,2,True
2996,55.0,55.0,0.09244275838136673,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 3}}",True,1.0,3,True
3022,55.0,55.0,0.09185156226158142,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 4}}",True,1.0,4,True
3120,55.0,55.0,0.089420510455966,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 5}}",True,1.0,5,True
3315,55.0,55.0,0.08894561529159546,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 6}}",True,1.0,6,True
4095,69.0,69.0,-1,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 6}, 69.0: {69.0: 1}}",True,1.0,1,True
5749,84.0,84.0,-1,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 6}, 69.0: {69.0: 1}, 84.0: {84.0: 1}}",True,1.0,1,True
5938,165.0,165.0,-1,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 6}, 69.0: {69.0: 1}, 84.0: {84.0: 1}, 165.0: {165.0: 1}}",True,1.0,1,True
5944,165.0,165.0,0.13244806230068207,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 6}, 69.0: {69.0: 1}, 84.0: {84.0: 1}, 165.0: {165.0: 2}}",True,1.0,2,True
6005,165.0,165.0,0.12970292568206787,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 6}, 69.0: {69.0: 1}, 84.0: {84.0: 1}, 165.0: {165.0: 3}}",True,1.0,3,True
6019,165.0,165.0,0.12089897940556209,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 6}, 69.0: {69.0: 1}, 84.0: {84.0: 1}, 165.0: {165.0: 4}}",True,1.0,4,True
6467,165.0,165.0,0.12591315433382988,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 6}, 69.0: {69.0: 1}, 84.0: {84.0: 1}, 165.0: {165.0: 5}}",True,1.0,5,True
6486,165.0,165.0,0.1150676891207695,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 6}, 69.0: {69.0: 1}, 84.0: {84.0: 1}, 165.0: {165.0: 6}}",True,1.0,6,True
6767,165.0,165.0,0.11732504516839981,"{39.0: {39.0: 37}, 25.0: {25.0: 1}, 55.0: {55.0: 6}, 69.0: {69.0: 1}, 84.0: {84.0: 1}, 165.0: {165.0: 7}}",True,1.0,7,True
