Time,Real cid,Classified cid,Score,Queue Distribution,Representive,Percentage,Queue Size,Dominated
20,11.0,11.0,-1,{11.0: {11.0: 1}},True,1.0,1,True
3745,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 1}}",True,1.0,1,True
4290,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 2}}",True,1.0,2,True
4899,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 3}}",True,1.0,3,True
4978,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 4}}",True,1.0,4,True
5088,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 5}}",True,1.0,5,True
5181,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 6}}",True,1.0,6,True
5223,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 7}}",True,1.0,7,True
5431,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 8}}",True,1.0,8,True
5487,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 9}}",True,1.0,9,True
5581,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 10}}",True,1.0,10,True
5800,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 11}}",True,1.0,11,True
5871,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 12}}",True,1.0,12,True
5882,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 13}}",True,1.0,13,True
5963,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 14}}",True,1.0,14,True
5988,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 15}}",True,1.0,15,True
5993,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 16}}",True,1.0,16,True
6107,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 17}}",True,1.0,17,True
6129,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 18}}",True,1.0,18,True
6220,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 19}}",True,1.0,19,True
6224,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 20}}",True,1.0,20,True
6289,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 21}}",True,1.0,21,True
6298,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 22}}",True,1.0,22,True
6336,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 23}}",True,1.0,23,True
6358,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 24}}",True,1.0,24,True
6374,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 25}}",True,1.0,25,True
6436,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 26}}",True,1.0,26,True
6489,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 27}}",True,1.0,27,True
6566,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 28}}",True,1.0,28,True
6572,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 29}}",True,1.0,29,True
6573,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 30}}",True,1.0,30,True
6651,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 31}}",True,1.0,31,True
6655,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 32}}",True,1.0,32,True
6686,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 33}}",True,1.0,33,True
6688,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 34}}",True,1.0,34,True
6770,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 35}}",True,1.0,35,True
6789,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 36}}",True,1.0,36,True
6797,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 37}}",True,1.0,37,True
6819,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 38}}",True,1.0,38,True
6829,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 39}}",True,1.0,39,True
6898,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 40}}",True,1.0,40,True
6917,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 41}}",True,1.0,41,True
6933,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 42}}",True,1.0,42,True
6947,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 43}}",True,1.0,43,True
6959,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 44}}",True,1.0,44,True
6969,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 45}}",True,1.0,45,True
6972,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 46}}",True,1.0,46,True
6975,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 47}}",True,1.0,47,True
7024,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 48}}",True,1.0,48,True
7038,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 49}}",True,1.0,49,True
7076,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 50}}",True,1.0,50,True
7083,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 51}}",True,1.0,51,True
7109,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 52}}",True,1.0,52,True
7134,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 53}}",True,1.0,53,True
7175,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 54}}",True,1.0,54,True
7256,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 55}}",True,1.0,55,True
7300,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 56}}",True,1.0,56,True
7305,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 57}}",True,1.0,57,True
7327,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 58}}",True,1.0,58,True
7450,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 59}}",True,1.0,59,True
7559,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 60}}",True,1.0,60,True
7565,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 61}}",True,1.0,61,True
7569,16.0,16.0,-1,"{11.0: {11.0: 1}, 16.0: {16.0: 62}}",True,1.0,62,True
