timer,global,local with mapping,local
10000,"[(84.0, 156947.0), (80.0, 345389.0), (171.0, 371047.0), (8.0, 419619.0), (37.0, 538193.0), (134.0, 653089.0), (178.0, 902951.0), (34.0, 1981246.0), (183.0, 6370611.0)]","[[(80.0, 191196.0), (178.0, 594888.0), (34.0, 1406556.0), (37.0, 1406556.0), (134.0, 2458570.0), (183.0, 2458570.0)], [(84.0, 205630.0), (80.0, 210039.0), (171.0, 371047.0), (8.0, 483992.0), (178.0, 558872.0), (34.0, 1217452.0), (37.0, 1217452.0), (183.0, 2193232.0)]]","[[(80.0, 191196.0), (178.0, 594888.0), (34.0, 1406556.0), (37.0, 1406556.0), (134.0, 2458570.0), (183.0, 2458570.0)], [(84.0, 205630.0), (80.0, 210039.0), (171.0, 371047.0), (8.0, 483992.0), (178.0, 558872.0), (34.0, 1217452.0), (37.0, 1217452.0), (183.0, 2193232.0)]]"
20000,"[(84.0, 156947.0), (80.0, 345389.0), (171.0, 371047.0), (212.0, 397014.0), (8.0, 419619.0), (37.0, 538193.0), (134.0, 653089.0), (203.0, 1443303.0), (230.0, 1586135.0), (178.0, 1603367.0), (34.0, 1981246.0), (202.0, 2467240.0), (183.0, 11711445.0)]","[[(80.0, 285114.0), (203.0, 626930.0), (202.0, 1105731.0), (178.0, 1545331.0), (230.0, 1545331.0), (134.0, 7040136.0), (171.0, 7040136.0), (183.0, 7040136.0)], [(80.0, 346989.0), (230.0, 750419.0), (178.0, 884072.0), (84.0, 925460.0), (203.0, 925460.0), (34.0, 1439364.0), (37.0, 1439364.0), (202.0, 1492036.0), (212.0, 1492036.0), (134.0, 7040136.0), (171.0, 7040136.0), (183.0, 7040136.0)]]","[[(80.0, 285114.0), (203.0, 626930.0), (202.0, 1105731.0), (178.0, 1545331.0), (230.0, 1545331.0), (134.0, 4869021.0), (183.0, 4869021.0)], [(80.0, 346989.0), (230.0, 750419.0), (178.0, 884072.0), (84.0, 925460.0), (203.0, 925460.0), (34.0, 1439364.0), (37.0, 1439364.0), (202.0, 1492036.0), (212.0, 1492036.0), (171.0, 2171115.0), (183.0, 2939952.0)]]"
30000,"[(84.0, 156947.0), (358.0, 275993.0), (336.0, 344234.0), (80.0, 345389.0), (171.0, 371047.0), (305.0, 372595.0), (212.0, 397014.0), (8.0, 419619.0), (283.0, 511473.0), (37.0, 538193.0), (134.0, 653089.0), (352.0, 701233.0), (178.0, 1603367.0), (203.0, 1659272.0), (230.0, 1850155.0), (34.0, 1981246.0), (202.0, 2650601.0), (275.0, 3532922.0), (287.0, 4977145.0), (183.0, 11711445.0)]","[[(336.0, 74444.0), (305.0, 372595.0), (178.0, 1617796.0), (230.0, 1617796.0), (202.0, 4796303.0), (283.0, 4796303.0), (287.0, 4796303.0), (134.0, 10573058.0), (171.0, 10573058.0), (183.0, 10573058.0), (203.0, 10573058.0), (275.0, 10573058.0)], [(336.0, 319783.0), (358.0, 321114.0), (230.0, 976328.0), (84.0, 1141429.0), (203.0, 1141429.0), (287.0, 1992928.0), (134.0, 10573058.0), (171.0, 10573058.0), (183.0, 10573058.0), (275.0, 10573058.0)]]","[[(336.0, 74444.0), (305.0, 372595.0), (178.0, 1617796.0), (230.0, 1617796.0), (202.0, 4796303.0), (283.0, 4796303.0), (287.0, 4796303.0), (134.0, 7074856.0), (183.0, 7074856.0), (275.0, 7074856.0)], [(336.0, 319783.0), (358.0, 321114.0), (230.0, 976328.0), (84.0, 1141429.0), (203.0, 1141429.0), (287.0, 1992928.0), (171.0, 3498202.0), (183.0, 3498202.0), (275.0, 3498202.0)]]"
40000,"[(84.0, 156947.0), (380.0, 181487.0), (80.0, 345389.0), (171.0, 371047.0), (305.0, 372595.0), (371.0, 380668.0), (212.0, 397014.0), (8.0, 419619.0), (283.0, 511473.0), (37.0, 538193.0), (403.0, 576828.0), (134.0, 653089.0), (336.0, 899580.0), (358.0, 1458287.0), (178.0, 1603367.0), (203.0, 1659272.0), (230.0, 1850155.0), (34.0, 1981246.0), (202.0, 2650601.0), (352.0, 3059314.0), (275.0, 3532922.0), (287.0, 4977145.0), (183.0, 11711445.0)]","[[(352.0, 117573.0), (305.0, 436381.0), (358.0, 521094.0), (336.0, 701044.0), (202.0, 4896259.0), (283.0, 4896259.0), (287.0, 4896259.0), (134.0, 10648583.0), (171.0, 10648583.0), (183.0, 10648583.0), (203.0, 10648583.0), (275.0, 10648583.0)], [(380.0, 203748.0), (352.0, 354196.0), (403.0, 358850.0), (371.0, 414376.0), (358.0, 612687.0), (336.0, 1246679.0), (134.0, 10648583.0), (171.0, 10648583.0), (183.0, 10648583.0), (203.0, 10648583.0), (275.0, 10648583.0)]]","[[(352.0, 117573.0), (305.0, 436381.0), (358.0, 521094.0), (336.0, 701044.0), (202.0, 4896259.0), (283.0, 4896259.0), (287.0, 4896259.0), (134.0, 7126798.0), (183.0, 7126798.0), (275.0, 7126798.0)], [(380.0, 203748.0), (352.0, 354196.0), (403.0, 358850.0), (371.0, 414376.0), (336.0, 545635.0), (358.0, 612687.0), (171.0, 3521785.0), (183.0, 3521785.0), (203.0, 3521785.0), (275.0, 3521785.0)]]"
50000,"[(84.0, 156947.0), (80.0, 345389.0), (171.0, 371047.0), (305.0, 372595.0), (380.0, 384295.0), (212.0, 397014.0), (8.0, 419619.0), (283.0, 511473.0), (37.0, 538193.0), (134.0, 653089.0), (371.0, 710154.0), (336.0, 899580.0), (178.0, 1603367.0), (358.0, 1626905.0), (203.0, 1659272.0), (230.0, 1850155.0), (34.0, 1981246.0), (202.0, 2650601.0), (403.0, 2770523.0), (352.0, 3393723.0), (275.0, 3532922.0), (287.0, 4977145.0), (183.0, 11711445.0)]","[[(380.0, 179717.0), (352.0, 216158.0), (371.0, 331007.0), (305.0, 599353.0), (358.0, 709347.0), (336.0, 1866051.0), (403.0, 1866051.0)], [(371.0, 506712.0), (403.0, 868615.0), (336.0, 1866051.0), (352.0, 1866051.0), (358.0, 1866051.0)]]","[[(380.0, 179717.0), (352.0, 216158.0), (371.0, 331007.0), (403.0, 555181.0), (305.0, 599353.0), (358.0, 709347.0), (336.0, 939988.0)], [(371.0, 506712.0), (403.0, 868615.0), (336.0, 926063.0), (352.0, 926063.0), (358.0, 926063.0)]]"
60000,"[(84.0, 156947.0), (80.0, 345389.0), (171.0, 371047.0), (305.0, 372595.0), (380.0, 384295.0), (212.0, 397014.0), (8.0, 419619.0), (283.0, 511473.0), (37.0, 538193.0), (134.0, 653089.0), (371.0, 710154.0), (336.0, 899580.0), (178.0, 1603367.0), (358.0, 1626905.0), (203.0, 1659272.0), (230.0, 1850155.0), (34.0, 1981246.0), (202.0, 2650601.0), (352.0, 3393723.0), (275.0, 3532922.0), (287.0, 4977145.0), (403.0, 5249488.0), (183.0, 11711445.0)]","[[(305.0, 643832.0), (352.0, 643832.0), (380.0, 643832.0), (358.0, 723646.0), (336.0, 2765715.0), (403.0, 2765715.0)], [(371.0, 546951.0), (336.0, 2765715.0), (352.0, 2765715.0), (358.0, 2765715.0), (403.0, 2765715.0)]]","[[(305.0, 643832.0), (352.0, 643832.0), (380.0, 643832.0), (358.0, 723646.0), (403.0, 936092.0), (336.0, 1404828.0)], [(371.0, 546951.0), (336.0, 1360887.0), (352.0, 1360887.0), (358.0, 1360887.0), (403.0, 1365606.0)]]"
70000,"[(84.0, 156947.0), (80.0, 345389.0), (171.0, 371047.0), (305.0, 372595.0), (380.0, 384295.0), (212.0, 397014.0), (8.0, 419619.0), (283.0, 511473.0), (37.0, 538193.0), (134.0, 653089.0), (371.0, 710154.0), (336.0, 899580.0), (178.0, 1603367.0), (358.0, 1626905.0), (203.0, 1659272.0), (230.0, 1850155.0), (34.0, 1981246.0), (202.0, 2650601.0), (352.0, 3393723.0), (275.0, 3532922.0), (287.0, 4977145.0), (403.0, 7717799.0), (183.0, 11711445.0)]","[[(358.0, 737249.0), (305.0, 790455.0), (352.0, 790455.0), (380.0, 790455.0), (336.0, 3622641.0), (403.0, 3622641.0)], [(371.0, 685707.0), (336.0, 3622641.0), (352.0, 3622641.0), (358.0, 3622641.0), (403.0, 3622641.0)]]","[[(358.0, 737249.0), (305.0, 790455.0), (352.0, 790455.0), (380.0, 790455.0), (403.0, 1389259.0), (336.0, 1808870.0)], [(371.0, 685707.0), (336.0, 1813771.0), (352.0, 1813771.0), (358.0, 1813771.0), (403.0, 1925711.0)]]"
80000,"[(84.0, 156947.0), (80.0, 345389.0), (171.0, 371047.0), (305.0, 372595.0), (380.0, 384295.0), (212.0, 397014.0), (8.0, 419619.0), (283.0, 511473.0), (37.0, 538193.0), (134.0, 653089.0), (371.0, 710154.0), (336.0, 899580.0), (178.0, 1603367.0), (358.0, 1626905.0), (203.0, 1659272.0), (230.0, 1850155.0), (34.0, 1981246.0), (416.0, 2263760.0), (202.0, 2650601.0), (352.0, 3393723.0), (275.0, 3532922.0), (287.0, 4977145.0), (403.0, 9870225.0), (183.0, 11711445.0)]","[[(358.0, 747228.0), (305.0, 1038720.0), (352.0, 1038720.0), (380.0, 1038720.0), (336.0, 4613165.0), (403.0, 4613165.0), (416.0, 4613165.0)], [(371.0, 796701.0), (416.0, 1144236.0), (336.0, 4613165.0), (352.0, 4613165.0), (358.0, 4613165.0), (403.0, 4613165.0)]]","[[(358.0, 747228.0), (305.0, 1038720.0), (352.0, 1038720.0), (380.0, 1038720.0), (403.0, 1861387.0), (336.0, 2342838.0), (416.0, 2342838.0)], [(371.0, 796701.0), (416.0, 1144236.0), (336.0, 2270327.0), (352.0, 2270327.0), (358.0, 2270327.0), (403.0, 2525600.0)]]"
90000,"[(84.0, 156947.0), (80.0, 345389.0), (171.0, 371047.0), (305.0, 372595.0), (380.0, 384295.0), (212.0, 397014.0), (8.0, 419619.0), (283.0, 511473.0), (37.0, 538193.0), (134.0, 653089.0), (371.0, 710154.0), (336.0, 899580.0), (178.0, 1603367.0), (358.0, 1626905.0), (203.0, 1659272.0), (230.0, 1850155.0), (34.0, 1981246.0), (202.0, 2650601.0), (352.0, 3393723.0), (275.0, 3532922.0), (416.0, 3936282.0), (287.0, 4977145.0), (183.0, 11711445.0), (403.0, 12097815.0)]","[[(305.0, 1337297.0), (352.0, 1337297.0), (380.0, 1337297.0), (336.0, 5727033.0), (358.0, 5727033.0), (403.0, 5727033.0), (416.0, 5727033.0)], [(371.0, 847229.0), (416.0, 1303209.0), (336.0, 5727033.0), (352.0, 5727033.0), (358.0, 5727033.0), (403.0, 5727033.0)]]","[[(416.0, 902306.0), (305.0, 1337297.0), (352.0, 1337297.0), (380.0, 1337297.0), (403.0, 2553204.0), (336.0, 2921991.0), (358.0, 2921991.0)], [(371.0, 847229.0), (416.0, 1303209.0), (336.0, 2805042.0), (352.0, 2805042.0), (358.0, 2805042.0), (403.0, 3224464.0)]]"
100000,"[(84.0, 156947.0), (80.0, 345389.0), (171.0, 371047.0), (305.0, 372595.0), (380.0, 384295.0), (212.0, 397014.0), (8.0, 419619.0), (283.0, 511473.0), (37.0, 538193.0), (134.0, 653089.0), (371.0, 710154.0), (336.0, 899580.0), (178.0, 1603367.0), (358.0, 1626905.0), (203.0, 1659272.0), (230.0, 1850155.0), (34.0, 1981246.0), (202.0, 2650601.0), (352.0, 3393723.0), (275.0, 3532922.0), (287.0, 4977145.0), (416.0, 6314576.0), (183.0, 11711445.0), (403.0, 14230640.0)]","[[(416.0, 1273935.0), (305.0, 1575889.0), (352.0, 1575889.0), (380.0, 1575889.0), (336.0, 6867911.0), (358.0, 6867911.0), (403.0, 6867911.0)], [(371.0, 930330.0), (416.0, 2355077.0), (336.0, 6867911.0), (352.0, 6867911.0), (358.0, 6867911.0), (403.0, 6867911.0)]]","[[(416.0, 1273935.0), (305.0, 1575889.0), (352.0, 1575889.0), (380.0, 1575889.0), (403.0, 2933034.0), (336.0, 3474993.0), (358.0, 3474993.0)], [(371.0, 930330.0), (416.0, 2355077.0), (336.0, 3392918.0), (352.0, 3392918.0), (358.0, 3392918.0), (403.0, 3992018.0)]]"
