Coflow ID,Start Time,Completion Time,Duration Time,Coflow Size,Coflow Priority
50.0,10,411380,411370,377487360.0,2
29.0,1280,520720,519440,7340032.0,0
68.0,6500,525170,518670,3141533696.0,3
121.0,28910,429070,400160,27262976.0,1
133.0,31860,431500,399640,3145728.0,0
146.0,32070,32340,270,1048576.0,0
148.0,32350,432150,399800,304087040.0,2
156.0,36310,432350,396040,3464495104.0,3
182.0,67410,432920,365510,5963251712.0,3
230.0,121950,454640,332690,31457280.0,1
246.0,123850,527140,403290,13631488.0,1
313.0,124740,538370,413630,28311552.0,1
354.0,127920,392580,264660,1048576.0,0
366.0,128490,499110,370620,2097152.0,0
369.0,128960,393680,264720,75497472.0,1
400.0,132540,542020,409480,24127733760.0,4
463.0,340550,502670,162120,3512729600.0,3
