Coflow ID,Start Time,Completion Time,Duration Time
34.0,"[10, 928800, 928790]"
60.0,"[640, 688330, 687690]"
93.0,"[1350, 700670, 699320]"
116.0,"[2600, 939930, 937330]"
124.0,"[6470, 948410, 941940]"
134.0,"[6670, 692820, 686150]"
158.0,"[7460, 721000, 713540]"
159.0,"[12140, 948450, 936310]"
167.0,"[91600, 982620, 891020]"
180.0,"[122450, 1011750, 889300]"
227.0,"[171170, 722270, 551100]"
233.0,"[171350, 1005850, 834500]"
245.0,"[172150, 1211690, 1039540]"
252.0,"[224360, 1227260, 1002900]"
275.0,"[253070, 1245090, 992020]"
278.0,"[254370, 767680, 513310]"
284.0,"[254970, 775820, 520850]"
307.0,"[255360, 1357690, 1102330]"
312.0,"[320880, 1321250, 1000370]"
327.0,"[323460, 1340370, 1016910]"
334.0,"[327280, 1340480, 1013200]"
347.0,"[498810, 881380, 382570]"
353.0,"[499770, 646700, 146930]"
384.0,"[500040, 1340540, 840500]"
413.0,"[502170, 890530, 388360]"
443.0,"[504550, 1341500, 836950]"
448.0,"[608750, 891590, 282840]"
466.0,"[611500, 899140, 287640]"
478.0,"[611830, 845390, 233560]"
485.0,"[612360, 909410, 297050]"
504.0,"[616330, 1319270, 702940]"
506.0,"[616530, 874190, 257660]"
150.0,"[8500, 720940, 712440]"
168.0,"[121890, 764310, 642420]"
229.0,"[171840, 776350, 604510]"
232.0,"[172070, 778570, 606500]"
321.0,"[327080, 849820, 522740]"
391.0,"[504620, 890270, 385650]"
481.0,"[612690, 908100, 295410]"
502.0,"[616560, 916550, 299990]"
AverageCCT,665627.0
