Time,Major Accuracy,Major Groundtruth,Minor Accuracy,Minor Groundtruth
140,1.0,{41.0: 1},0,{44.0: 0}
199,1.0,{41.0: 2},0.0,"{44.0: 0, 45.0: 1}"
235,1.0,{41.0: 3},0.0,"{44.0: 0, 45.0: 1}"
266,1.0,{41.0: 1},1.0,"{44.0: 2, 45.0: 0}"
280,1.0,{41.0: 4},0.0,"{44.0: 0, 45.0: 1}"
341,1.0,"{41.0: 0, 45.0: 1}",1.0,"{44.0: 0, 45.0: 5}"
354,1.0,"{41.0: 0, 45.0: 2}",1.0,"{44.0: 0, 45.0: 6}"
388,1.0,"{41.0: 0, 45.0: 3}",1.0,"{44.0: 0, 45.0: 6}"
410,1.0,"{41.0: 0, 45.0: 4}",1.0,"{44.0: 0, 45.0: 7}"
423,1.0,"{41.0: 2, 45.0: 0}",1.0,"{44.0: 2, 45.0: 0}"
500,1.0,"{41.0: 0, 45.0: 5}",1.0,"{44.0: 0, 45.0: 7}"
504,1.0,"{41.0: 3, 45.0: 0}",1.0,"{44.0: 2, 45.0: 0}"
516,1.0,"{41.0: 0, 45.0: 6}",1.0,"{44.0: 0, 45.0: 7}"
562,1.0,"{41.0: 0, 45.0: 7}",1.0,"{44.0: 0, 45.0: 7}"
593,1.0,"{41.0: 0, 45.0: 8}",1.0,"{44.0: 0, 45.0: 8}"
594,1.0,"{41.0: 0, 45.0: 9}",1.0,"{44.0: 0, 45.0: 8}"
675,1.0,"{41.0: 0, 45.0: 10}",1.0,"{44.0: 0, 45.0: 12}"
676,1.0,"{41.0: 0, 45.0: 11}",1.0,"{44.0: 0, 45.0: 12}"
677,1.0,"{41.0: 0, 45.0: 12}",1.0,"{44.0: 0, 45.0: 12}"
873,1.0,"{41.0: 0, 45.0: 13}",1.0,"{44.0: 0, 45.0: 12}"
874,1.0,"{41.0: 0, 45.0: 14}",1.0,"{44.0: 0, 45.0: 12}"
1355,1.0,"{41.0: 0, 45.0: 15}",1.0,"{44.0: 0, 45.0: 14}"
1357,1.0,"{41.0: 0, 45.0: 16}",1.0,"{44.0: 0, 45.0: 14}"
1358,1.0,"{41.0: 0, 45.0: 17}",1.0,"{44.0: 0, 45.0: 14}"
1479,1.0,"{41.0: 0, 45.0: 18}",1.0,"{44.0: 0, 45.0: 17}"
1482,1.0,"{41.0: 0, 45.0: 19}",1.0,"{44.0: 0, 45.0: 17}"
1505,1.0,"{41.0: 0, 45.0: 20}",1.0,"{44.0: 0, 45.0: 17}"
1544,1.0,"{41.0: 0, 45.0: 21}",1.0,"{44.0: 0, 45.0: 17}"
1546,1.0,"{41.0: 0, 45.0: 22}",1.0,"{44.0: 0, 45.0: 17}"
1547,1.0,"{41.0: 0, 45.0: 23}",1.0,"{44.0: 0, 45.0: 17}"
1549,1.0,"{41.0: 0, 45.0: 24}",1.0,"{44.0: 0, 45.0: 17}"
2114,1.0,"{41.0: 0, 45.0: 25}",1.0,"{44.0: 0, 45.0: 19}"
2117,1.0,"{41.0: 0, 45.0: 26}",1.0,"{44.0: 0, 45.0: 19}"
2120,1.0,"{41.0: 0, 45.0: 27}",1.0,"{44.0: 0, 45.0: 19}"
3200,1.0,"{41.0: 0, 45.0: 28}",1.0,"{44.0: 0, 45.0: 29, 41.0: 0}"
3201,1.0,"{41.0: 0, 45.0: 29}",1.0,"{44.0: 0, 45.0: 29, 41.0: 0}"
3203,1.0,"{41.0: 0, 45.0: 30}",1.0,"{44.0: 0, 45.0: 29, 41.0: 0}"
3403,1.0,"{41.0: 0, 45.0: 31}",1.0,"{44.0: 0, 45.0: 32, 41.0: 0}"
3442,1.0,"{41.0: 0, 45.0: 32}",1.0,"{44.0: 0, 45.0: 32, 41.0: 0}"
3445,1.0,"{41.0: 0, 45.0: 33}",1.0,"{44.0: 0, 45.0: 32, 41.0: 0}"
3451,1.0,"{41.0: 0, 45.0: 34}",1.0,"{44.0: 0, 45.0: 32, 41.0: 0}"
3455,1.0,"{41.0: 0, 45.0: 35}",1.0,"{44.0: 0, 45.0: 32, 41.0: 0}"
3457,1.0,"{41.0: 0, 45.0: 36}",1.0,"{44.0: 0, 45.0: 32, 41.0: 0}"
3458,1.0,"{41.0: 0, 45.0: 37}",1.0,"{44.0: 0, 45.0: 32, 41.0: 0}"
3462,1.0,"{41.0: 0, 45.0: 38}",1.0,"{44.0: 0, 45.0: 32, 41.0: 0}"
3473,1.0,"{41.0: 0, 45.0: 39}",1.0,"{44.0: 0, 45.0: 32, 41.0: 0}"
3699,1.0,"{41.0: 0, 45.0: 0, 2.0: 1}",0,"{44.0: 0, 45.0: 0, 41.0: 0}"
3946,1.0,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 1}",0,"{44.0: 0, 45.0: 0, 41.0: 0}"
4991,1.0,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 1}",0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0}"
5008,1.0,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 2}",0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0}"
5065,1.0,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 0, 86.0: 1}",0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0}"
5140,0.3333333333333333,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 2, 86.0: 1}",0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0}"
5170,0.75,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 3, 86.0: 1}",0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0}"
