Time,Major Accuracy,Major Groundtruth,Minor Accuracy,Minor Groundtruth
76,1.0,{48.0: 2},1.0,{48.0: 2}
186,1.0,"{48.0: 0, 40.0: 1}",0,{48.0: 0}
187,1.0,"{48.0: 0, 40.0: 2}",1.0,"{48.0: 0, 40.0: 1}"
191,1.0,"{48.0: 0, 40.0: 3}",1.0,"{48.0: 0, 40.0: 2}"
321,1.0,"{48.0: 0, 40.0: 4}",1.0,"{48.0: 0, 40.0: 4}"
322,1.0,"{48.0: 0, 40.0: 5}",1.0,"{48.0: 0, 40.0: 4}"
323,1.0,"{48.0: 0, 40.0: 6}",1.0,"{48.0: 0, 40.0: 4}"
538,1.0,"{48.0: 3, 40.0: 0}",1.0,"{48.0: 2, 40.0: 0}"
1272,1.0,"{48.0: 0, 40.0: 7}",1.0,"{48.0: 0, 40.0: 22}"
1273,1.0,"{48.0: 0, 40.0: 8}",1.0,"{48.0: 0, 40.0: 22}"
1328,1.0,"{48.0: 0, 40.0: 9}",1.0,"{48.0: 0, 40.0: 22}"
1329,1.0,"{48.0: 0, 40.0: 10}",1.0,"{48.0: 0, 40.0: 22}"
1330,1.0,"{48.0: 0, 40.0: 11}",1.0,"{48.0: 0, 40.0: 22}"
1373,1.0,"{48.0: 0, 40.0: 12}",1.0,"{48.0: 0, 40.0: 22}"
1614,1.0,"{48.0: 0, 40.0: 13}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0}"
1615,1.0,"{48.0: 0, 40.0: 14}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0}"
1706,1.0,"{48.0: 0, 40.0: 15}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0}"
1707,1.0,"{48.0: 0, 40.0: 16}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0}"
1714,1.0,"{48.0: 0, 40.0: 17}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0}"
1715,1.0,"{48.0: 0, 40.0: 18}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0}"
2293,1.0,"{48.0: 0, 40.0: 19}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0}"
2295,1.0,"{48.0: 0, 40.0: 20}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0}"
2327,1.0,"{48.0: 0, 40.0: 21}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0, 125.0: 0}"
2391,1.0,"{48.0: 0, 40.0: 22}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0, 125.0: 0}"
2392,1.0,"{48.0: 0, 40.0: 23}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0, 125.0: 0}"
2454,1.0,"{48.0: 0, 40.0: 24}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0, 125.0: 0}"
2457,1.0,"{48.0: 0, 40.0: 25}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0, 125.0: 0}"
2461,1.0,"{48.0: 0, 40.0: 26}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0, 125.0: 0}"
2524,1.0,"{48.0: 0, 40.0: 27}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0, 125.0: 0}"
2528,1.0,"{48.0: 0, 40.0: 28}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0, 125.0: 0}"
2530,1.0,"{48.0: 0, 40.0: 29}",1.0,"{48.0: 0, 40.0: 31, 111.0: 0, 125.0: 0}"
2599,1.0,"{48.0: 0, 40.0: 0, 111.0: 1}",1.0,"{48.0: 0, 40.0: 0, 111.0: 1, 125.0: 0}"
3233,1.0,"{48.0: 0, 40.0: 0, 111.0: 2}",1.0,"{48.0: 0, 40.0: 0, 111.0: 1, 125.0: 0}"
3914,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 1}",1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 1}"
6021,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 1}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 0}"
6641,1.0,"{48.0: 0, 40.0: 1, 111.0: 0, 125.0: 0, 265.0: 0}",1.0,"{48.0: 0, 40.0: 12, 111.0: 0, 125.0: 0, 268.0: 0}"
6643,1.0,"{48.0: 0, 40.0: 2, 111.0: 0, 125.0: 0, 265.0: 0}",1.0,"{48.0: 0, 40.0: 12, 111.0: 0, 125.0: 0, 268.0: 0}"
6655,1.0,"{48.0: 0, 40.0: 3, 111.0: 0, 125.0: 0, 265.0: 0}",1.0,"{48.0: 0, 40.0: 12, 111.0: 0, 125.0: 0, 268.0: 0}"
6667,1.0,"{48.0: 0, 40.0: 4, 111.0: 0, 125.0: 0, 265.0: 0}",1.0,"{48.0: 0, 40.0: 12, 111.0: 0, 125.0: 0, 268.0: 0}"
6929,1.0,"{48.0: 0, 40.0: 5, 111.0: 0, 125.0: 0, 265.0: 0}",1.0,"{48.0: 0, 40.0: 13, 111.0: 0, 125.0: 0, 268.0: 0}"
