Time,Major Accuracy,Major Groundtruth,Minor Accuracy,Minor Groundtruth
52,1.0,{48.0: 1},1.0,{48.0: 1}
74,1.0,{48.0: 2},1.0,{48.0: 1}
186,1.0,"{48.0: 0, 40.0: 1}",1.0,"{48.0: 0, 40.0: 1}"
187,1.0,"{48.0: 0, 40.0: 2}",1.0,"{48.0: 0, 40.0: 2}"
274,1.0,"{48.0: 0, 40.0: 3}",1.0,"{48.0: 0, 40.0: 3}"
275,1.0,"{48.0: 0, 40.0: 4}",1.0,"{48.0: 0, 40.0: 3}"
428,1.0,"{48.0: 0, 40.0: 5}",1.0,"{48.0: 0, 40.0: 6}"
438,1.0,"{48.0: 0, 40.0: 6}",1.0,"{48.0: 0, 40.0: 6}"
439,1.0,"{48.0: 0, 40.0: 7}",1.0,"{48.0: 0, 40.0: 6}"
512,1.0,"{48.0: 0, 40.0: 8}",1.0,"{48.0: 0, 40.0: 6}"
513,1.0,"{48.0: 0, 40.0: 9}",1.0,"{48.0: 0, 40.0: 6}"
577,1.0,"{48.0: 0, 40.0: 10}",1.0,"{48.0: 0, 40.0: 6}"
578,1.0,"{48.0: 0, 40.0: 11}",1.0,"{48.0: 0, 40.0: 6}"
579,1.0,"{48.0: 0, 40.0: 12}",1.0,"{48.0: 0, 40.0: 6}"
580,1.0,"{48.0: 0, 40.0: 13}",1.0,"{48.0: 0, 40.0: 6}"
952,1.0,"{48.0: 0, 40.0: 14}",1.0,"{48.0: 0, 40.0: 6}"
953,1.0,"{48.0: 0, 40.0: 15}",1.0,"{48.0: 0, 40.0: 6}"
954,1.0,"{48.0: 0, 40.0: 16}",1.0,"{48.0: 0, 40.0: 6}"
1081,1.0,"{48.0: 0, 40.0: 17}",1.0,"{48.0: 0, 40.0: 6}"
1082,1.0,"{48.0: 0, 40.0: 18}",1.0,"{48.0: 0, 40.0: 6}"
1083,1.0,"{48.0: 0, 40.0: 19}",1.0,"{48.0: 0, 40.0: 6}"
1093,1.0,"{48.0: 0, 40.0: 20}",1.0,"{48.0: 0, 40.0: 6}"
1094,1.0,"{48.0: 0, 40.0: 21}",1.0,"{48.0: 0, 40.0: 6}"
1095,1.0,"{48.0: 0, 40.0: 22}",1.0,"{48.0: 0, 40.0: 6}"
1450,1.0,"{48.0: 0, 40.0: 23}",1.0,"{48.0: 0, 40.0: 12}"
1451,1.0,"{48.0: 0, 40.0: 24}",1.0,"{48.0: 0, 40.0: 12}"
1470,1.0,"{48.0: 0, 40.0: 25}",1.0,"{48.0: 0, 40.0: 12}"
1471,1.0,"{48.0: 0, 40.0: 26}",1.0,"{48.0: 0, 40.0: 12}"
1472,1.0,"{48.0: 0, 40.0: 27}",1.0,"{48.0: 0, 40.0: 12}"
1491,1.0,"{48.0: 0, 40.0: 28}",1.0,"{48.0: 0, 40.0: 12}"
1492,1.0,"{48.0: 0, 40.0: 29}",1.0,"{48.0: 0, 40.0: 12}"
1511,1.0,"{48.0: 0, 40.0: 30}",1.0,"{48.0: 0, 40.0: 12}"
1512,1.0,"{48.0: 0, 40.0: 31}",1.0,"{48.0: 0, 40.0: 12}"
1547,1.0,"{48.0: 0, 40.0: 0, 111.0: 1}",0,"{48.0: 0, 40.0: 0}"
2310,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 1}",0,"{48.0: 0, 40.0: 0}"
4113,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 1}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0}"
4752,1.0,"{48.0: 0, 40.0: 1, 111.0: 0, 125.0: 0, 268.0: 0}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0}"
4766,1.0,"{48.0: 0, 40.0: 2, 111.0: 0, 125.0: 0, 268.0: 0}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0}"
4810,1.0,"{48.0: 0, 40.0: 3, 111.0: 0, 125.0: 0, 268.0: 0}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0}"
4816,1.0,"{48.0: 0, 40.0: 4, 111.0: 0, 125.0: 0, 268.0: 0}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0}"
4890,1.0,"{48.0: 0, 40.0: 5, 111.0: 0, 125.0: 0, 268.0: 0}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0}"
4937,1.0,"{48.0: 0, 40.0: 6, 111.0: 0, 125.0: 0, 268.0: 0}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0}"
5009,1.0,"{48.0: 0, 40.0: 7, 111.0: 0, 125.0: 0, 268.0: 0}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0}"
5063,1.0,"{48.0: 0, 40.0: 8, 111.0: 0, 125.0: 0, 268.0: 0}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0}"
5071,1.0,"{48.0: 0, 40.0: 9, 111.0: 0, 125.0: 0, 268.0: 0}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0}"
5128,1.0,"{48.0: 0, 40.0: 10, 111.0: 0, 125.0: 0, 268.0: 0}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0}"
5159,1.0,"{48.0: 0, 40.0: 11, 111.0: 0, 125.0: 0, 268.0: 0}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0}"
6307,1.0,"{48.0: 0, 40.0: 12, 111.0: 0, 125.0: 0, 268.0: 0}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
6788,1.0,"{48.0: 0, 40.0: 13, 111.0: 0, 125.0: 0, 268.0: 0}",1.0,"{48.0: 0, 40.0: 4, 111.0: 0, 125.0: 0, 265.0: 0}"
7178,1.0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 268.0: 1}",0,"{48.0: 0, 40.0: 0, 111.0: 0, 125.0: 0, 265.0: 0}"
