Time,Real cid,Classified cid,Score,Queue Distribution,Representive,Percentage,Queue Size,Dominated
114,39.0,39.0,-1,{39.0: {39.0: 1}},True,1.0,1,True
180,39.0,39.0,0.19997236132621765,{39.0: {39.0: 2}},True,1.0,2,True
255,39.0,39.0,0.2363983616232872,{39.0: {39.0: 3}},True,1.0,3,True
275,39.0,39.0,0.23544290165106455,{39.0: {39.0: 4}},True,1.0,4,True
437,39.0,39.0,0.23615598678588867,{39.0: {39.0: 5}},True,1.0,5,True
438,39.0,39.0,0.23481567203998566,{39.0: {39.0: 6}},True,1.0,6,True
439,39.0,39.0,0.2328693519035975,{39.0: {39.0: 7}},True,1.0,7,True
440,39.0,39.0,0.23603222625596182,{39.0: {39.0: 8}},True,1.0,8,True
1130,39.0,39.0,0.23690092749893665,{39.0: {39.0: 9}},True,1.0,9,True
1131,39.0,39.0,0.2321215205722385,{39.0: {39.0: 10}},True,1.0,10,True
1132,39.0,39.0,0.23685982674360276,{39.0: {39.0: 11}},True,1.0,11,True
1185,39.0,39.0,0.2368219101970846,{39.0: {39.0: 12}},True,1.0,12,True
1186,39.0,39.0,0.2366874453922113,{39.0: {39.0: 13}},True,1.0,13,True
1213,39.0,39.0,0.23708355885285598,{39.0: {39.0: 14}},True,1.0,14,True
1214,39.0,39.0,0.237119017967156,{39.0: {39.0: 15}},True,1.0,15,True
1215,39.0,39.0,0.2366915653149287,{39.0: {39.0: 16}},True,1.0,16,True
1216,39.0,39.0,0.23709930013865232,{39.0: {39.0: 17}},True,1.0,17,True
1269,39.0,39.0,0.23491255676045136,{39.0: {39.0: 18}},True,1.0,18,True
1270,39.0,39.0,0.23665681812498304,{39.0: {39.0: 19}},True,1.0,19,True
1271,39.0,39.0,0.23721683417495928,{39.0: {39.0: 20}},True,1.0,20,True
1272,39.0,39.0,0.2361973635852337,{39.0: {39.0: 21}},True,1.0,21,True
1581,39.0,39.0,0.23704612851142884,{39.0: {39.0: 22}},True,1.0,22,True
1705,39.0,39.0,0.23621383905410767,{39.0: {39.0: 23}},True,1.0,23,True
1726,39.0,39.0,0.23560816049575806,{39.0: {39.0: 24}},True,1.0,24,True
1784,39.0,39.0,0.2040475994348526,{39.0: {39.0: 25}},True,1.0,25,True
1901,39.0,39.0,0.23288903385400772,{39.0: {39.0: 26}},True,1.0,26,True
1902,39.0,39.0,0.236540724337101,{39.0: {39.0: 27}},True,1.0,27,True
1923,39.0,39.0,0.23657119050621986,{39.0: {39.0: 28}},True,1.0,28,True
1950,39.0,39.0,0.2361920192837715,{39.0: {39.0: 29}},True,1.0,29,True
1952,39.0,39.0,0.23734138682484626,{39.0: {39.0: 30}},True,1.0,30,True
1954,39.0,39.0,0.23501075953245162,{39.0: {39.0: 31}},True,1.0,31,True
1956,39.0,39.0,0.23641810417175294,{39.0: {39.0: 32}},True,1.0,32,True
1958,39.0,39.0,0.23553941696882247,{39.0: {39.0: 33}},True,1.0,33,True
1983,39.0,39.0,0.2351616643369198,{39.0: {39.0: 34}},True,1.0,34,True
1987,39.0,39.0,0.23665331825613975,{39.0: {39.0: 35}},True,1.0,35,True
1989,39.0,39.0,0.23646635711193084,{39.0: {39.0: 36}},True,1.0,36,True
2042,39.0,39.0,0.2371399372816086,{39.0: {39.0: 37}},True,1.0,37,True
2049,39.0,39.0,0.23651939928531646,{39.0: {39.0: 38}},True,1.0,38,True
2226,15.0,15.0,-1,"{39.0: {39.0: 38}, 15.0: {15.0: 1}}",True,1.0,1,True
2276,25.0,25.0,-1,"{39.0: {39.0: 38}, 15.0: {15.0: 1}, 25.0: {25.0: 1}}",True,1.0,1,True
3553,55.0,55.0,-1,"{39.0: {39.0: 38}, 15.0: {15.0: 1}, 25.0: {25.0: 1}, 55.0: {55.0: 1}}",True,1.0,1,True
3558,55.0,55.0,0.09236535429954529,"{39.0: {39.0: 38}, 15.0: {15.0: 1}, 25.0: {25.0: 1}, 55.0: {55.0: 2}}",True,1.0,2,True
