Time,Real cid,Classified cid,Score,Queue Distribution,Representive,Percentage,Queue Size,Dominated
4577,7.0,24.0,0.10468998402357102,"{1.0: {1.0: 1}, 7.0: {7.0: 33, 24.0: 1}, 24.0: {24.0: 1, 7.0: 10}}",False,0.9090909090909091,11,True
4578,7.0,24.0,0.10197406668554652,"{1.0: {1.0: 1}, 7.0: {7.0: 33, 24.0: 1}, 24.0: {24.0: 1, 7.0: 11}}",False,0.9166666666666666,12,True
4589,7.0,24.0,0.1040238148222367,"{1.0: {1.0: 1}, 7.0: {7.0: 33, 24.0: 1}, 24.0: {24.0: 1, 7.0: 12}}",False,0.9230769230769231,13,True
4620,7.0,7.0,-1,"{1.0: {1.0: 1}, 7.0: {7.0: 34, 24.0: 1}, 24.0: {24.0: 1, 7.0: 12}}",True,0.9714285714285714,35,True
4641,7.0,24.0,0.10169522693523994,"{1.0: {1.0: 1}, 7.0: {7.0: 34, 24.0: 1}, 24.0: {24.0: 1, 7.0: 13}}",False,0.9285714285714286,14,True
4675,7.0,7.0,-1,"{1.0: {1.0: 1}, 7.0: {7.0: 35, 24.0: 1}, 24.0: {24.0: 1, 7.0: 13}}",True,0.9722222222222222,36,True
5136,7.0,24.0,0.10465719816940171,"{1.0: {1.0: 1}, 7.0: {7.0: 35, 24.0: 1}, 24.0: {24.0: 1, 7.0: 14}}",False,0.9333333333333333,15,True
5149,7.0,24.0,0.10443882296482722,"{1.0: {1.0: 1}, 7.0: {7.0: 35, 24.0: 1}, 24.0: {24.0: 1, 7.0: 15}}",False,0.9375,16,True
5174,7.0,24.0,0.10513471579179168,"{1.0: {1.0: 1}, 7.0: {7.0: 35, 24.0: 1}, 24.0: {24.0: 1, 7.0: 16}}",False,0.9411764705882353,17,True
5175,7.0,24.0,0.10474871186649098,"{1.0: {1.0: 1}, 7.0: {7.0: 35, 24.0: 1}, 24.0: {24.0: 1, 7.0: 17}}",False,0.9444444444444444,18,True
5176,7.0,24.0,0.10410360288288859,"{1.0: {1.0: 1}, 7.0: {7.0: 35, 24.0: 1}, 24.0: {24.0: 1, 7.0: 18}}",False,0.9473684210526315,19,True
5181,7.0,7.0,-1,"{1.0: {1.0: 1}, 7.0: {7.0: 36, 24.0: 1}, 24.0: {24.0: 1, 7.0: 18}}",True,0.972972972972973,37,True
5201,7.0,24.0,0.10562609057677419,"{1.0: {1.0: 1}, 7.0: {7.0: 36, 24.0: 1}, 24.0: {24.0: 1, 7.0: 19}}",False,0.95,20,True
5214,7.0,24.0,0.10575760714709759,"{1.0: {1.0: 1}, 7.0: {7.0: 36, 24.0: 1}, 24.0: {24.0: 1, 7.0: 20}}",False,0.9523809523809523,21,True
