Time,Major Accuracy,Major Groundtruth,Minor Accuracy,Minor Groundtruth
7292,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 5}",0.967741935483871,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 30, 86.0: 1}"
7294,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 6}",0.967741935483871,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 30, 86.0: 1}"
7296,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 7}",0.967741935483871,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 30, 86.0: 1}"
7298,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 8}",0.967741935483871,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 30, 86.0: 1}"
7300,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 9}",0.967741935483871,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 30, 86.0: 1}"
7413,0.6666666666666666,"{44.0: 0, 45.0: 1, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 2, 80.0: 0}",0.8,"{41.0: 0, 45.0: 0, 2.0: 1, 8.0: 0, 80.0: 0, 86.0: 4}"
7794,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 10}",0.9736842105263158,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 37, 86.0: 1}"
7846,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 11}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1}"
7975,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 12}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
7980,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 13}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
7982,1.0,"{44.0: 0, 45.0: 0, 41.0: 0, 28.0: 0, 53.0: 0, 76.0: 0, 86.0: 0, 80.0: 14}",0.9767441860465116,"{41.0: 0, 45.0: 0, 2.0: 0, 8.0: 0, 80.0: 42, 86.0: 1, 101.0: 0, 116.0: 0}"
