real cid,global size,mapping size,local sizes,queue sizes
101863,"[303.0, 53355682.0, 41785662.0, [21388173.0, 20397489.0], [1550, 1498]]"
101926,"[303.0, 53392644.0, 41811656.0, [20403871.0, 21407785.0], [1500, 1552]]"
104454,"[303.0, 54856722.0, 43073550.0, [22030880.0, 21042670.0], [1600, 1538]]"
104834,"[303.0, 55075806.0, 43237933.0, [21140729.0, 22097204.0], [1550, 1603]]"
107262,"[303.0, 56481443.0, 44345284.0, [22685029.0, 21660255.0], [1650, 1587]]"
107810,"[303.0, 56800333.0, 44601676.0, [21752718.0, 22848958.0], [1600, 1660]]"
110429,"[303.0, 58316999.0, 45795708.0, [23497924.0, 22297784.0], [1700, 1646]]"
110577,"[303.0, 58402884.0, 45840793.0, [22336883.0, 23503910.0], [1650, 1703]]"
113084,"[303.0, 59851036.0, 46633056.0, [23962521.0, 22670535.0], [1750, 1694]]"
113807,"[303.0, 60269163.0, 46796450.0, [22684442.0, 24112008.0], [1700, 1767]]"
117555,"[303.0, 62436870.0, 48360933.0, [24850723.0, 23510210.0], [1800, 1725]]"
120397,"[303.0, 64081589.0, 49533971.0, [24095127.0, 25438844.0], [1750, 1818]]"
122963,"[303.0, 65565007.0, 50471556.0, [25967137.0, 24504419.0], [1850, 1775]]"
125377,"[303.0, 66960476.0, 51177868.0, [24921133.0, 26256735.0], [1800, 1871]]"
127803,"[303.0, 68368076.0, 51912704.0, [26668622.0, 25244082.0], [1900, 1828]]"
129914,"[303.0, 69588563.0, 52759196.0, [25649469.0, 27109727.0], [1850, 1927]]"
131625,"[303.0, 70573243.0, 53484653.0, [27490170.0, 25994483.0], [1950, 1865]]"
134400,"[303.0, 72181203.0, 54550862.0, [28025492.0, 26525370.0], [2000, 1886]]"
135700,"[303.0, 72936875.0, 55109229.0, [26794389.0, 28314840.0], [1900, 2005]]"
141163,"[303.0, 75132939.0, 56915879.0, [29546572.0, 27369307.0], [2050, 1923]]"
144034,"[409.0, 1607051.0, 385661.0, [328030.0, 57631.0], [100, 38]]"
145119,"[409.0, 2144898.0, 521148.0, [437741.0, 83407.0], [150, 49]]"
145278,"[409.0, 2223349.0, 553872.0, [85397.0, 468475.0], [50, 169]]"
145844,"[409.0, 2473931.0, 714793.0, [559319.0, 155474.0], [200, 58]]"
