50.0,28.0,29.0,68.0,121.0,133.0,148.0,156.0,169.0,182.0,230.0,246.0,313.0,319.0,369.0,400.0,463.0
Time,Coflow id,Major Accuracy,Major Groundtruth,Minor Accuracy,Minor Groundtruth
11608,156.0,0.7619047619047619,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 16}",0.22727272727272727,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 8, 146.0: 5, 148.0: 0, 156.0: 8}"
11806,156.0,0.7727272727272727,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 17}",0.32,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 8, 146.0: 5, 148.0: 0, 156.0: 11}"
11875,156.0,0.782608695652174,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 18}",0.44,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 8, 146.0: 5, 148.0: 0, 156.0: 11}"
11878,156.0,0.08333333333333333,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 18}",0.2,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 8, 146.0: 5, 148.0: 0, 156.0: 11}"
11897,156.0,0.76,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 19}",0.2,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 8, 146.0: 5, 148.0: 0, 156.0: 11}"
11999,156.0,0.7692307692307693,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 20}",0.4444444444444444,"{50.0: 1, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 8, 146.0: 6, 148.0: 0, 156.0: 12}"
12148,156.0,0.7777777777777778,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 21}",0.34375,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 11, 146.0: 6, 148.0: 0, 156.0: 13}"
12167,156.0,0.7857142857142857,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 22}",0.40625,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 11, 146.0: 6, 148.0: 0, 156.0: 13}"
12264,156.0,0.7931034482758621,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 23}",0.3235294117647059,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 11, 146.0: 6, 148.0: 0, 156.0: 15}"
12358,156.0,0.8,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 24}",0.3235294117647059,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 11, 146.0: 6, 148.0: 0, 156.0: 15}"
12413,156.0,0.8064516129032258,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 25}",0.4411764705882353,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 11, 146.0: 6, 148.0: 0, 156.0: 15}"
12426,156.0,0.8125,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 26}",0.3142857142857143,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 11, 146.0: 7, 148.0: 0, 156.0: 15}"
12434,156.0,0.8181818181818182,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 27}",0.2,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 11, 146.0: 7, 148.0: 0, 156.0: 15}"
12528,156.0,0.8235294117647058,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 28}",0.3333333333333333,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 12, 146.0: 7, 148.0: 0, 156.0: 15}"
12553,156.0,0.8285714285714286,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 2, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 29}",0.3333333333333333,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 12, 146.0: 7, 148.0: 0, 156.0: 15}"
12729,156.0,0.08333333333333333,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 3, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 29}",0.4166666666666667,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 12, 146.0: 7, 148.0: 0, 156.0: 15}"
12745,156.0,0.8108108108108109,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 3, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 30}",0.4166666666666667,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 12, 146.0: 7, 148.0: 0, 156.0: 15}"
12953,156.0,0.8157894736842105,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 3, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 31}",0.3333333333333333,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 12, 146.0: 7, 148.0: 0, 156.0: 15}"
12998,156.0,0.8205128205128205,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 3, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 32}",0.32432432432432434,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 12, 146.0: 7, 148.0: 0, 156.0: 16}"
13040,156.0,0.825,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 3, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 33}",0.32432432432432434,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 12, 146.0: 7, 148.0: 0, 156.0: 16}"
13055,156.0,0.8292682926829268,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 3, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 34}",0.32432432432432434,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 12, 146.0: 7, 148.0: 0, 156.0: 16}"
13122,156.0,0.8333333333333334,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 3, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 35}",0.1794871794871795,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 14, 146.0: 7, 148.0: 0, 156.0: 16}"
13143,156.0,0.8372093023255814,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 3, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 36}",0.41025641025641024,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 14, 146.0: 7, 148.0: 0, 156.0: 16}"
13167,156.0,0.8409090909090909,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 3, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 37}",0.41025641025641024,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 14, 146.0: 7, 148.0: 0, 156.0: 16}"
13217,156.0,0.06666666666666667,"{50.0: 2, 28.0: 0, 29.0: 0, 68.0: 3, 121.0: 0, 133.0: 0, 148.0: 3, 156.0: 37}",0.2,"{50.0: 1, 29.0: 0, 68.0: 1, 121.0: 0, 133.0: 14, 146.0: 8, 148.0: 0, 156.0: 16}"
13480,182.0,1.0,"{50.0: 0, 28.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 0}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0}"
13494,182.0,0.5,"{50.0: 0, 28.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 0, 182.0: 1}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0}"
13557,182.0,0.6666666666666666,"{50.0: 0, 28.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 0, 182.0: 2}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0}"
13570,182.0,0.75,"{50.0: 0, 28.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 0, 182.0: 3}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 0, 148.0: 0, 156.0: 0}"
13640,182.0,0.8,"{50.0: 0, 28.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 0, 182.0: 4}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 1, 148.0: 0, 156.0: 0}"
14177,182.0,0.16666666666666666,"{50.0: 0, 28.0: 1, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 0, 182.0: 4}",0.3333333333333333,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 2, 148.0: 0, 156.0: 0, 182.0: 1}"
14233,182.0,0.7142857142857143,"{50.0: 0, 28.0: 1, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 0, 182.0: 5}",0.3333333333333333,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 2, 148.0: 0, 156.0: 0, 182.0: 1}"
14440,182.0,0.75,"{50.0: 0, 28.0: 1, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 0, 182.0: 6}",0.25,"{50.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 3, 148.0: 0, 156.0: 0, 182.0: 1}"
14554,182.0,0.2222222222222222,"{50.0: 0, 28.0: 2, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 1, 156.0: 0, 182.0: 6}",0.25,"{50.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 3, 148.0: 0, 156.0: 0, 182.0: 1}"
14651,182.0,0.2,"{50.0: 0, 28.0: 2, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 2, 156.0: 0, 182.0: 6}",0.75,"{50.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 146.0: 3, 148.0: 0, 156.0: 0, 182.0: 1}"
15165,182.0,0.2727272727272727,"{50.0: 0, 28.0: 2, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 3, 156.0: 0, 182.0: 6}",0.3333333333333333,"{50.0: 0, 68.0: 0, 121.0: 0, 133.0: 1, 146.0: 4, 148.0: 0, 156.0: 0, 182.0: 7}"
15517,182.0,0.5833333333333334,"{50.0: 0, 28.0: 2, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 3, 156.0: 0, 182.0: 7}",0.5333333333333333,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 5, 148.0: 0, 156.0: 0, 182.0: 8}"
15691,182.0,0.6153846153846154,"{50.0: 0, 28.0: 2, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 3, 156.0: 0, 182.0: 8}",0.5,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 6, 148.0: 0, 156.0: 0, 182.0: 8}"
15761,182.0,0.6428571428571429,"{50.0: 0, 28.0: 2, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 3, 156.0: 0, 182.0: 9}",0.4444444444444444,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 8, 148.0: 0, 156.0: 0, 182.0: 8}"
15817,182.0,0.6666666666666666,"{50.0: 0, 28.0: 2, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 3, 156.0: 0, 182.0: 10}",0.47368421052631576,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 8, 148.0: 0, 156.0: 0, 182.0: 9}"
15821,182.0,0.25,"{50.0: 0, 28.0: 2, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 4, 156.0: 0, 182.0: 10}",0.42105263157894735,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 8, 148.0: 0, 156.0: 0, 182.0: 9}"
15943,182.0,0.29411764705882354,"{50.0: 0, 28.0: 2, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 5, 156.0: 0, 182.0: 10}",0.38095238095238093,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 8, 148.0: 0, 156.0: 0, 182.0: 11}"
15981,182.0,0.16666666666666666,"{50.0: 0, 28.0: 3, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 5, 156.0: 0, 182.0: 10}",0.5652173913043478,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 8, 148.0: 0, 156.0: 0, 182.0: 13}"
15985,182.0,0.21052631578947367,"{50.0: 0, 28.0: 4, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 5, 156.0: 0, 182.0: 10}",0.5652173913043478,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 8, 148.0: 0, 156.0: 0, 182.0: 13}"
16024,182.0,0.55,"{50.0: 0, 28.0: 4, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 5, 156.0: 0, 182.0: 11}",0.5416666666666666,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 13}"
16038,182.0,0.5714285714285714,"{50.0: 0, 28.0: 4, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 5, 156.0: 0, 182.0: 12}",0.5416666666666666,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 13}"
16099,182.0,0.5909090909090909,"{50.0: 0, 28.0: 4, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 5, 156.0: 0, 182.0: 13}",0.5416666666666666,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 13}"
16125,182.0,0.6086956521739131,"{50.0: 0, 28.0: 4, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 5, 156.0: 0, 182.0: 14}",0.5416666666666666,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 13}"
16203,182.0,0.20833333333333334,"{50.0: 0, 28.0: 5, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 5, 156.0: 0, 182.0: 14}",0.56,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 14}"
16238,182.0,0.24,"{50.0: 0, 28.0: 6, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 5, 156.0: 0, 182.0: 14}",0.5769230769230769,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 15}"
16265,182.0,0.5769230769230769,"{50.0: 0, 28.0: 6, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 5, 156.0: 0, 182.0: 15}",0.5769230769230769,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 15}"
16312,182.0,0.25925925925925924,"{50.0: 0, 28.0: 7, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 5, 156.0: 0, 182.0: 15}",0.5925925925925926,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 16}"
16354,182.0,0.5714285714285714,"{50.0: 0, 28.0: 7, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 5, 156.0: 0, 182.0: 16}",0.6071428571428571,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 17}"
16381,182.0,0.20689655172413793,"{50.0: 0, 28.0: 7, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 16}",0.32142857142857145,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 17}"
16387,182.0,0.5666666666666667,"{50.0: 0, 28.0: 7, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 17}",0.6071428571428571,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 17}"
16452,182.0,0.25806451612903225,"{50.0: 0, 28.0: 8, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 17}",0.6451612903225806,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 20}"
16569,182.0,0.5625,"{50.0: 0, 28.0: 8, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 18}",0.6764705882352942,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 23}"
16610,182.0,0.5757575757575758,"{50.0: 0, 28.0: 8, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 19}",0.7027027027027027,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 26}"
16639,182.0,0.5882352941176471,"{50.0: 0, 28.0: 8, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 20}",0.717948717948718,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 28}"
16651,182.0,0.6,"{50.0: 0, 28.0: 8, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 21}",0.725,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 29}"
16700,182.0,0.6111111111111112,"{50.0: 0, 28.0: 8, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 22}",0.7317073170731707,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 30}"
16707,182.0,0.6216216216216216,"{50.0: 0, 28.0: 8, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 23}",0.7317073170731707,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 30}"
16722,182.0,0.631578947368421,"{50.0: 0, 28.0: 8, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 24}",0.7317073170731707,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 30}"
16765,182.0,0.6410256410256411,"{50.0: 0, 28.0: 8, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 25}",0.75,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 33}"
16800,182.0,0.65,"{50.0: 0, 28.0: 8, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 26}",0.75,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 9, 148.0: 0, 156.0: 0, 182.0: 33}"
16883,182.0,0.21951219512195122,"{50.0: 0, 28.0: 9, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 26}",0.7391304347826086,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 10, 148.0: 0, 156.0: 0, 182.0: 34}"
16898,182.0,0.6428571428571429,"{50.0: 0, 28.0: 9, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 27}",0.7346938775510204,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 11, 148.0: 0, 156.0: 0, 182.0: 36}"
16924,182.0,0.6511627906976745,"{50.0: 0, 28.0: 9, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 28}",0.74,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 11, 148.0: 0, 156.0: 0, 182.0: 37}"
16953,182.0,0.6590909090909091,"{50.0: 0, 28.0: 9, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6, 156.0: 0, 182.0: 29}",0.02,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 11, 148.0: 0, 156.0: 0, 182.0: 37}"
17010,182.0,0.15555555555555556,"{50.0: 0, 28.0: 9, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 7, 156.0: 0, 182.0: 29}",0.21153846153846154,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 11, 148.0: 0, 156.0: 0, 182.0: 39}"
17022,182.0,0.21739130434782608,"{50.0: 0, 28.0: 10, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 7, 156.0: 0, 182.0: 29}",0.75,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 11, 148.0: 0, 156.0: 0, 182.0: 39}"
17034,182.0,0.23404255319148937,"{50.0: 0, 28.0: 11, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 7, 156.0: 0, 182.0: 29}",0.75,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 11, 148.0: 0, 156.0: 0, 182.0: 39}"
17051,182.0,0.16666666666666666,"{50.0: 0, 28.0: 11, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 8, 156.0: 0, 182.0: 29}",0.20754716981132076,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 11, 148.0: 0, 156.0: 0, 182.0: 40}"
17177,182.0,0.24489795918367346,"{50.0: 0, 28.0: 12, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 8, 156.0: 0, 182.0: 29}",0.7758620689655172,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 11, 148.0: 0, 156.0: 0, 182.0: 45}"
17187,182.0,0.6,"{50.0: 0, 28.0: 12, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 8, 156.0: 0, 182.0: 30}",0.7758620689655172,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 11, 148.0: 0, 156.0: 0, 182.0: 45}"
17225,182.0,0.2549019607843137,"{50.0: 0, 28.0: 13, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 8, 156.0: 0, 182.0: 30}",0.7758620689655172,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 11, 148.0: 0, 156.0: 0, 182.0: 45}"
17325,182.0,0.2692307692307692,"{50.0: 0, 28.0: 14, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 8, 156.0: 0, 182.0: 30}",0.7704918032786885,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 12, 148.0: 0, 156.0: 0, 182.0: 47}"
17354,182.0,0.2830188679245283,"{50.0: 0, 28.0: 15, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 8, 156.0: 0, 182.0: 30}",0.7741935483870968,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 12, 148.0: 0, 156.0: 0, 182.0: 48}"
17361,182.0,0.5740740740740741,"{50.0: 0, 28.0: 15, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 8, 156.0: 0, 182.0: 31}",0.7741935483870968,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 12, 148.0: 0, 156.0: 0, 182.0: 48}"
17426,182.0,0.5818181818181818,"{50.0: 0, 28.0: 15, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 8, 156.0: 0, 182.0: 32}",0.7777777777777778,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 12, 148.0: 0, 156.0: 0, 182.0: 49}"
17444,182.0,0.2857142857142857,"{50.0: 0, 28.0: 16, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 8, 156.0: 0, 182.0: 32}",0.7777777777777778,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 12, 148.0: 0, 156.0: 0, 182.0: 49}"
17446,182.0,0.5789473684210527,"{50.0: 0, 28.0: 16, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 8, 156.0: 0, 182.0: 33}",0.7777777777777778,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 12, 148.0: 0, 156.0: 0, 182.0: 49}"
17463,182.0,0.5862068965517241,"{50.0: 0, 28.0: 16, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 8, 156.0: 0, 182.0: 34}",0.7846153846153846,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 12, 148.0: 0, 156.0: 0, 182.0: 51}"
17464,182.0,0.15254237288135594,"{50.0: 0, 28.0: 16, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 9, 156.0: 0, 182.0: 34}",0.18461538461538463,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 12, 148.0: 0, 156.0: 0, 182.0: 51}"
17493,182.0,0.2833333333333333,"{50.0: 0, 28.0: 17, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 9, 156.0: 0, 182.0: 34}",0.7846153846153846,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 12, 148.0: 0, 156.0: 0, 182.0: 51}"
17506,182.0,0.5737704918032787,"{50.0: 0, 28.0: 17, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 9, 156.0: 0, 182.0: 35}",0.18461538461538463,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 12, 148.0: 0, 156.0: 0, 182.0: 51}"
17518,182.0,0.5806451612903226,"{50.0: 0, 28.0: 17, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 9, 156.0: 0, 182.0: 36}",0.7846153846153846,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 12, 148.0: 0, 156.0: 0, 182.0: 51}"
17556,182.0,0.5873015873015873,"{50.0: 0, 28.0: 17, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 9, 156.0: 0, 182.0: 37}",0.7727272727272727,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 13, 148.0: 0, 156.0: 0, 182.0: 51}"
17587,182.0,0.28125,"{50.0: 0, 28.0: 18, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 9, 156.0: 0, 182.0: 37}",0.7727272727272727,"{50.0: 0, 68.0: 1, 121.0: 0, 133.0: 1, 146.0: 13, 148.0: 0, 156.0: 0, 182.0: 51}"
