epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.91980493,0.13688525656747363,1e-06,0.9233471155166626,0.13345675644352387
1,0.9323706,0.13031360932497676,1e-06,0.9380965232849121,0.12757762514405088
2,0.94252807,0.1250441903580719,1e-06,0.946040689945221,0.12287786155086175
3,0.9492348,0.1208535711861211,1e-06,0.9519449472427368,0.1191863942633746
4,0.9541413,0.11761118467042914,1e-06,0.955936074256897,0.11635125100378178
0,0.9206703,0.13895792198237558,1e-06,0.9250271916389465,0.1351977664258909
1,0.93180835,0.13177818460221885,1e-06,0.9369558691978455,0.1287659185620149
2,0.9431171,0.12595638181142196,1e-06,0.9482800960540771,0.12355786864467969
3,0.9525993,0.12129806356295689,1e-06,0.9562795162200928,0.11942977242368803
4,0.95848066,0.11767376812959347,1e-06,0.9606600999832153,0.11627847879392408
5,0.9620232,0.11493151672462974,1e-06,0.9631288647651672,0.11393297539911533
6,0.9631373,0.11288553502833541,1e-06,0.9630601406097412,0.11213382482354071
7,0.9631094,0.11124691548256734,1e-06,0.9641406536102295,0.1106325394333014
8,0.96527106,0.10981535628952939,1e-06,0.9659715890884399,0.10924631171455496
9,0.96626216,0.10845582743875425,1e-06,0.9662274122238159,0.10791359346812121
10,0.9664501,0.10713944931131653,1e-06,0.966438889503479,0.10661458690004401
11,0.9665439,0.10585416116524578,1e-06,0.9666581749916077,0.10535238876953222
12,0.9671047,0.10461513163248536,1e-06,0.9672666192054749,0.10414154223982401
13,0.9675664,0.10341716143537887,1e-06,0.9679039716720581,0.1029555159173606
14,0.96840614,0.10220551840121354,1e-06,0.9690345525741577,0.10170784333395928
15,0.9697124,0.10093126202880186,1e-06,0.9699291586875916,0.10043036175108237
16,0.9700031,0.09966655858168331,1e-06,0.9699830412864685,0.09918501689227241
17,0.97006416,0.0984484422408157,1e-06,0.9700267910957336,0.09800546467299752
18,0.9700957,0.09731826968187501,1e-06,0.9701076149940491,0.09693834242816579
19,0.97018737,0.09627853163283655,1e-06,0.9701800346374512,0.09591616802543071
20,0.97039264,0.09526906939314567,1e-06,0.9706134796142578,0.09491867280637292
21,0.97122097,0.09427867863325468,1e-06,0.9718846678733826,0.09393871755175144
22,0.9723428,0.09329865092692359,1e-06,0.9724456667900085,0.09296295237196506
23,0.9724704,0.09232674891752772,1e-06,0.97243732213974,0.0919964232762888
24,0.9727629,0.0913705710166094,1e-06,0.9730168581008911,0.09105047007473271
25,0.97324616,0.09042552496551862,1e-06,0.9732820391654968,0.09010334555477834
26,0.97349226,0.08947151846400925,1e-06,0.9735199213027954,0.08914673488161293
27,0.97408444,0.08851072482067056,1e-06,0.9747338891029358,0.08817699934888626
28,0.9750938,0.08752760726575075,1e-06,0.975193440914154,0.08718163500878877
29,0.97520715,0.08652419061025245,1e-06,0.9749892950057983,0.08617318330627029
30,0.97514915,0.0855175632145484,1e-06,0.9753421545028687,0.08517199457768534
31,0.97617054,0.08451889057292943,1e-06,0.9768490195274353,0.08417696598330998
32,0.97749895,0.08352942254058865,1e-06,0.9780117869377136,0.0831946324210093
33,0.9784974,0.082556128363453,1e-06,0.9786166548728943,0.08223169739297147
34,0.97865695,0.08160365074076892,1e-06,0.9786260724067688,0.08129093991736687
35,0.97865653,0.08068067857887222,1e-06,0.9786174297332764,0.08038884127119718
36,0.9786472,0.07980080454352746,1e-06,0.9786076545715332,0.07953059954805304
37,0.9787308,0.0789660160552229,1e-06,0.9788017272949219,0.07872030136596447
38,0.979216,0.07818280692014075,1e-06,0.979241132736206,0.07796538101110276
39,0.9792163,0.07745459555579194,1e-06,0.9791334271430969,0.07726569457516919
40,0.9790726,0.07678239928747013,1e-06,0.978914201259613,0.07661953331146172
41,0.97891957,0.07616214645561008,1e-06,0.9788652062416077,0.07602488628850619
42,0.9788492,0.07560212733743439,1e-06,0.9788385033607483,0.0755062594840636
43,0.97915083,0.07511124393525803,1e-06,0.9794827699661255,0.07504375735810778
44,0.9798373,0.0746734572317326,1e-06,0.9801123738288879,0.07462201350799869
45,0.9805016,0.07425983444125238,1e-06,0.9806665182113647,0.07421592674749355
46,0.9810279,0.0738618497547461,1e-06,0.9812539219856262,0.07382500275643183
47,0.9815393,0.07347321952773697,1e-06,0.981552243232727,0.07344000085157266
48,0.9816516,0.07309527945291128,1e-06,0.9815686345100403,0.07306591525160991
49,0.9816637,0.07273008973300966,1e-06,0.9815964698791504,0.07271123276530324
50,0.9816516,0.07237698316067114,1e-06,0.9815989136695862,0.07236166673401506
51,0.98165166,0.0720336700174394,1e-06,0.9815278649330139,0.07202088729627099
52,0.98164445,0.07169877421726908,1e-06,0.9816561937332153,0.07169547663623092
53,0.9816715,0.07137558605446866,1e-06,0.9815858602523804,0.07137338738986798
54,0.98172903,0.07105910400312726,1e-06,0.9817351698875427,0.0710624877434017
55,0.9819373,0.07075459083561658,1e-06,0.9819241762161255,0.07076215562124082
56,0.9820167,0.07045880542436468,1e-06,0.9820007085800171,0.07047176474300244
57,0.9820695,0.0701697915943696,1e-06,0.9819812774658203,0.0701859294105966
58,0.9821083,0.06988913230960572,1e-06,0.9820485711097717,0.06991025197536635
59,0.98213905,0.0696166154404482,1e-06,0.982070803642273,0.06964129485533437
60,0.98215353,0.06934971134896573,1e-06,0.9821013808250427,0.0693795435232343
61,0.9821754,0.06909065441479158,1e-06,0.9820825457572937,0.0691215969119072
62,0.982216,0.06883603888308919,1e-06,0.9822256565093994,0.06887156494941857
63,0.98234403,0.06858828767465723,1e-06,0.9823310375213623,0.06862557869577322
64,0.98240894,0.06834343385899029,1e-06,0.9823459386825562,0.06838301226664371
65,0.98243845,0.06810617099953178,1e-06,0.9823871850967407,0.06815216192574203
66,0.9824694,0.06787769223191731,1e-06,0.9824435114860535,0.06792603953440433
67,0.98248875,0.06765305888038645,1e-06,0.9824292063713074,0.06770537899420247
68,0.98248965,0.06743323398217685,1e-06,0.9824433922767639,0.06748994516775436
69,0.9824982,0.06721924637456372,1e-06,0.9824130535125732,0.06727484828467166
70,0.9825027,0.06700439493624534,1e-06,0.9824507236480713,0.06706464657209893
71,0.982547,0.06680023016283729,1e-06,0.9825119972229004,0.06686604780104148
72,0.9825679,0.06660004555117982,1e-06,0.9825032949447632,0.0666660528336997
73,0.9825662,0.06640190613772581,1e-06,0.9825125932693481,0.06647035155586055
74,0.982569,0.06620740266136155,1e-06,0.982507586479187,0.0662770466045251
75,0.98262936,0.06601519963414813,1e-06,0.9825473427772522,0.06609007883693738
76,0.98288006,0.06582705400817251,1e-06,0.9829875230789185,0.06590205055390375
77,0.98320043,0.06564092411258267,1e-06,0.9832243323326111,0.0657179910464962
78,0.98343825,0.06545933143923888,1e-06,0.9836246371269226,0.06553930460739439
79,0.9837255,0.06528381361508606,1e-06,0.9837949275970459,0.06536896264196855
80,0.98391306,0.06511456652144598,1e-06,0.983838677406311,0.06520286727484936
81,0.98399657,0.06494757639539463,1e-06,0.983943521976471,0.06503672118759933
82,0.98405755,0.0647837509529025,1e-06,0.9839875102043152,0.06487443246112387
83,0.9840764,0.06462153883155404,1e-06,0.9839998483657837,0.06471581854595651
84,0.98408526,0.06446620577400923,1e-06,0.984001636505127,0.0645641970689397
85,0.9840891,0.06431315231489766,1e-06,0.9839940071105957,0.0644108178690398
