Label,S_time,M_size,V_size,M_int,V_int
393,1602567587.448027,472.0,0.0,0.0,0.0
393,1602567583.844474,488.0,0.0,0.0,0.0
393,1602567586.478914,478.0,0.0,0.0,0.0
393,1602567583.535804,481.0,0.0,0.0,0.0
393,1602567582.657794,480.0,0.0,0.0,0.0
393,1602567585.058868,489.0,0.0,0.0,0.0
393,1602567586.030801,492.0,0.0,0.0,0.0
394,1602567588.758492,648.5,0.25,4.957158088684082,0.0
394,1602567590.110962,657.5,0.25,4.8278281688690186,0.0
394,1602567590.712031,651.5,12.25,4.876113176345825,0.0
396,1602567615.654806,426.0,0.0,0.0,0.0
396,1602567616.421249,424.0,0.0,0.0,0.0
396,1602567628.568328,426.0,0.0,0.0,0.0
396,1602567628.950976,427.0,0.0,0.0,0.0
396,1602567623.362929,426.0,0.0,0.0,0.0
396,1602567625.148547,425.0,0.0,0.0,0.0
396,1602567621.343078,431.0,0.0,0.0,0.0
396,1602567618.158882,424.0,0.0,0.0,0.0
396,1602567624.917493,420.0,0.0,0.0,0.0
396,1602567630.290967,424.0,0.0,0.0,0.0
396,1602567632.13302,420.0,0.0,0.0,0.0
396,1602567616.942877,428.0,0.0,0.0,0.0
396,1602567613.819424,430.0,0.0,0.0,0.0
396,1602567634.396232,428.0,0.0,0.0,0.0
396,1602567637.758946,422.0,0.0,0.0,0.0
396,1602567631.694837,422.0,0.0,0.0,0.0
396,1602567636.258863,423.0,0.0,0.0,0.0
396,1602567630.598962,429.0,0.0,0.0,0.0
396,1602567620.043961,427.0,0.0,0.0,0.0
396,1602567621.091497,427.0,0.0,0.0,0.0
396,1602567613.626543,426.0,0.0,0.0,0.0
396,1602567627.369944,430.0,0.0,0.0,0.0
396,1602567613.924363,430.0,0.0,0.0,0.0
396,1602567624.218855,427.0,0.0,0.0,0.0
396,1602567622.171037,431.0,0.0,0.0,0.0
396,1602567618.237455,426.0,0.0,0.0,0.0
396,1602567629.262872,422.0,0.0,0.0,0.0
396,1602567622.518889,424.0,0.0,0.0,0.0
396,1602567628.246883,420.0,0.0,0.0,0.0
396,1602567627.35885,426.0,0.0,0.0,0.0
396,1602567622.830913,431.0,0.0,0.0,0.0
396,1602567616.532622,418.0,0.0,0.0,0.0
396,1602567635.66456,423.0,0.0,0.0,0.0
396,1602567633.20284,427.0,0.0,0.0,0.0
396,1602567633.990889,429.0,0.0,0.0,0.0
396,1602567627.639756,430.0,0.0,0.0,0.0
396,1602567632.730896,425.0,0.0,0.0,0.0
396,1602567626.672682,420.0,0.0,0.0,0.0
396,1602567618.250857,422.0,0.0,0.0,0.0
396,1602567619.183166,428.0,0.0,0.0,0.0
396,1602567626.111346,426.0,0.0,0.0,0.0
396,1602567626.288056,425.0,0.0,0.0,0.0
396,1602567625.09475,428.0,0.0,0.0,0.0
396,1602567637.124825,426.0,0.0,0.0,0.0
396,1602567620.34282,414.0,0.0,0.0,0.0
396,1602567619.762827,428.0,0.0,0.0,0.0
396,1602567631.794878,424.0,0.0,0.0,0.0
396,1602567629.896383,428.0,0.0,0.0,0.0
398,1602567621.545106,785.5,2.25,3.709810972213745,0.0
398,1602567622.378249,779.0,4.0,3.706382989883423,0.0
400,1602571225.881692,654.0,0.0,0.0,0.0
400,1602570225.872178,652.0,0.0,0.0,0.0
400,1602569875.259216,646.0,0.0,0.0,0.0
400,1602572094.502822,658.0,0.0,0.0,0.0
400,1602572136.509974,651.0,0.0,0.0,0.0
400,1602568394.070428,653.0,0.0,0.0,0.0
400,1602573310.34041,650.0,0.0,0.0,0.0
400,1602570065.507186,652.0,0.0,0.0,0.0
400,1602568694.936162,641.0,0.0,0.0,0.0
400,1602571121.789178,646.0,0.0,0.0,0.0
400,1602574654.124812,646.0,0.0,0.0,0.0
400,1602574866.751301,646.0,0.0,0.0,0.0
400,1602570625.900668,650.0,0.0,0.0,0.0
400,1602569132.941479,663.0,0.0,0.0,0.0
400,1602572843.924758,647.0,0.0,0.0,0.0
400,1602568020.15217,646.0,0.0,0.0,0.0
400,1602568269.338317,649.0,0.0,0.0,0.0
400,1602574900.094159,658.0,0.0,0.0,0.0
400,1602573508.874367,640.0,0.0,0.0,0.0
400,1602573914.974277,657.0,0.0,0.0,0.0
400,1602568389.263781,646.0,0.0,0.0,0.0
400,1602570389.840068,649.0,0.0,0.0,0.0
400,1602573746.167984,655.0,0.0,0.0,0.0
400,1602572892.941642,640.0,0.0,0.0,0.0
400,1602574046.3936,647.0,0.0,0.0,0.0
400,1602573853.568097,645.0,0.0,0.0,0.0
400,1602568074.721666,649.0,0.0,0.0,0.0
400,1602569412.242334,648.0,0.0,0.0,0.0
400,1602571906.869576,649.0,0.0,0.0,0.0
400,1602567665.795507,654.0,0.0,0.0,0.0
400,1602569007.166276,655.0,0.0,0.0,0.0
400,1602567648.868694,654.0,0.0,0.0,0.0
400,1602572003.805724,649.0,0.0,0.0,0.0
400,1602570587.619823,659.0,0.0,0.0,0.0
400,1602573531.233331,655.0,0.0,0.0,0.0
400,1602571830.552685,633.0,0.0,0.0,0.0
400,1602574332.85598,663.0,0.0,0.0,0.0
400,1602569161.03075,657.0,0.0,0.0,0.0
400,1602568365.93578,661.0,0.0,0.0,0.0
400,1602567653.500615,643.0,0.0,0.0,0.0
400,1602571934.454376,642.0,0.0,0.0,0.0
400,1602570778.857452,660.0,0.0,0.0,0.0
400,1602567935.698525,661.0,0.0,0.0,0.0
400,1602568765.44799,655.0,0.0,0.0,0.0
400,1602567652.501725,648.0,0.0,0.0,0.0
400,1602568744.710539,641.0,0.0,0.0,0.0
400,1602567907.965959,648.0,0.0,0.0,0.0
400,1602570401.25794,646.0,0.0,0.0,0.0
400,1602573054.40008,655.0,0.0,0.0,0.0
400,1602571172.872004,650.0,0.0,0.0,0.0
400,1602572053.242186,651.0,0.0,0.0,0.0
400,1602568177.610554,648.0,0.0,0.0,0.0
400,1602572812.02085,644.0,0.0,0.0,0.0
400,1602572062.383671,647.0,0.0,0.0,0.0
400,1602574751.330291,664.0,0.0,0.0,0.0
400,1602574940.736826,651.0,0.0,0.0,0.0
400,1602570572.929274,643.0,0.0,0.0,0.0
400,1602568381.832178,647.0,0.0,0.0,0.0
400,1602572424.247425,648.0,0.0,0.0,0.0
400,1602571146.281713,660.0,0.0,0.0,0.0
400,1602571258.197203,651.0,0.0,0.0,0.0
400,1602572504.359718,644.0,0.0,0.0,0.0
400,1602569300.419393,651.0,0.0,0.0,0.0
400,1602568120.447458,639.0,0.0,0.0,0.0
400,1602570308.420586,645.0,0.0,0.0,0.0
400,1602567664.248039,657.0,0.0,0.0,0.0
400,1602570642.882342,637.0,0.0,0.0,0.0
400,1602567652.499367,652.0,0.0,0.0,0.0
400,1602573795.605952,646.0,0.0,0.0,0.0
400,1602568283.371034,647.0,0.0,0.0,0.0
400,1602572091.373654,640.0,0.0,0.0,0.0
400,1602570407.862074,654.0,0.0,0.0,0.0
400,1602571180.811778,648.0,0.0,0.0,0.0
400,1602569362.640309,660.0,0.0,0.0,0.0
400,1602568855.467486,655.0,0.0,0.0,0.0
400,1602570397.16977,650.0,0.0,0.0,0.0
400,1602572161.513349,649.0,0.0,0.0,0.0
400,1602572406.38987,659.0,0.0,0.0,0.0
400,1602574027.805521,654.0,0.0,0.0,0.0
400,1602574712.333567,657.0,0.0,0.0,0.0
400,1602569108.816677,656.0,0.0,0.0,0.0
400,1602571260.468541,654.0,0.0,0.0,0.0
400,1602573707.598547,641.0,0.0,0.0,0.0
400,1602570772.314673,645.0,0.0,0.0,0.0
400,1602571176.189662,636.0,0.0,0.0,0.0
400,1602569340.87208,642.0,0.0,0.0,0.0
400,1602569816.033857,660.0,0.0,0.0,0.0
400,1602569685.654754,667.0,0.0,0.0,0.0
400,1602568289.969631,646.0,0.0,0.0,0.0
400,1602569661.639741,652.0,0.0,0.0,0.0
400,1602569169.918277,662.0,0.0,0.0,0.0
400,1602568308.159378,642.0,0.0,0.0,0.0
400,1602574828.116085,640.0,0.0,0.0,0.0
400,1602568679.20957,653.0,0.0,0.0,0.0
400,1602571269.398607,639.0,0.0,0.0,0.0
400,1602571232.663459,653.0,0.0,0.0,0.0
400,1602570855.550262,651.0,0.0,0.0,0.0
400,1602573039.205094,652.0,0.0,0.0,0.0
400,1602571105.563094,650.0,0.0,0.0,0.0
400,1602574611.515436,650.0,0.0,0.0,0.0
400,1602573340.864039,648.0,0.0,0.0,0.0
400,1602574891.216847,642.0,0.0,0.0,0.0
400,1602569319.874594,659.0,0.0,0.0,0.0
400,1602572699.298503,647.0,0.0,0.0,0.0
400,1602572661.833922,654.0,0.0,0.0,0.0
400,1602569156.040188,651.0,0.0,0.0,0.0
400,1602571238.973369,657.0,0.0,0.0,0.0
400,1602572568.455291,649.0,0.0,0.0,0.0
400,1602571861.254107,655.0,0.0,0.0,0.0
400,1602567679.661802,652.0,0.0,0.0,0.0
400,1602574861.034388,658.0,0.0,0.0,0.0
400,1602569903.425711,643.0,0.0,0.0,0.0
400,1602572117.147839,645.0,0.0,0.0,0.0
400,1602573798.32375,640.0,0.0,0.0,0.0
400,1602572446.851747,647.0,0.0,0.0,0.0
400,1602573396.342447,641.0,0.0,0.0,0.0
400,1602569001.076334,635.0,0.0,0.0,0.0
400,1602568562.527586,641.0,0.0,0.0,0.0
400,1602574276.530456,659.0,0.0,0.0,0.0
400,1602571614.926063,647.0,0.0,0.0,0.0
400,1602574838.657907,667.0,0.0,0.0,0.0
400,1602572477.903907,635.0,0.0,0.0,0.0
400,1602567651.318889,647.0,0.0,0.0,0.0
400,1602567656.373,662.0,0.0,0.0,0.0
400,1602571152.659425,657.0,0.0,0.0,0.0
400,1602574860.144014,634.0,0.0,0.0,0.0
400,1602570214.466131,650.0,0.0,0.0,0.0
400,1602568110.65546,649.0,0.0,0.0,0.0
400,1602572172.798188,649.0,0.0,0.0,0.0
400,1602569870.749026,654.0,0.0,0.0,0.0
400,1602571538.735134,653.0,0.0,0.0,0.0
400,1602573517.76427,657.0,0.0,0.0,0.0
400,1602574825.198843,651.0,0.0,0.0,0.0
400,1602572038.343282,656.0,0.0,0.0,0.0
400,1602574355.934612,653.0,0.0,0.0,0.0
400,1602574209.613404,648.0,0.0,0.0,0.0
400,1602570283.833753,645.0,0.0,0.0,0.0
400,1602568796.609659,644.0,0.0,0.0,0.0
400,1602571250.444091,661.0,0.0,0.0,0.0
400,1602574519.876975,656.0,0.0,0.0,0.0
400,1602567663.860899,658.0,0.0,0.0,0.0
400,1602572942.9503,652.0,0.0,0.0,0.0
400,1602567656.795421,642.0,0.0,0.0,0.0
400,1602572177.766813,649.0,0.0,0.0,0.0
400,1602567648.886929,647.0,0.0,0.0,0.0
400,1602574018.882806,659.0,0.0,0.0,0.0
400,1602573559.461703,642.0,0.0,0.0,0.0
400,1602569127.772129,638.0,0.0,0.0,0.0
400,1602569737.329382,656.0,0.0,0.0,0.0
400,1602573351.136816,649.0,0.0,0.0,0.0
400,1602567667.8081,641.0,0.0,0.0,0.0
400,1602571479.849461,635.0,0.0,0.0,0.0
400,1602571967.645038,644.0,0.0,0.0,0.0
400,1602570100.344477,668.0,0.0,0.0,0.0
400,1602574661.066581,639.0,0.0,0.0,0.0
400,1602571914.043709,646.0,0.0,0.0,0.0
400,1602572951.292995,655.0,0.0,0.0,0.0
400,1602570757.060863,647.0,0.0,0.0,0.0
400,1602573911.547657,649.0,0.0,0.0,0.0
400,1602571205.732603,647.0,0.0,0.0,0.0
400,1602573569.041034,649.0,0.0,0.0,0.0
400,1602572009.355732,652.0,0.0,0.0,0.0
400,1602567666.570366,653.0,0.0,0.0,0.0
400,1602574949.077257,656.0,0.0,0.0,0.0
400,1602573925.89247,657.0,0.0,0.0,0.0
400,1602573029.336932,650.0,0.0,0.0,0.0
400,1602572751.475721,665.0,0.0,0.0,0.0
400,1602573030.521364,648.0,0.0,0.0,0.0
400,1602574888.292062,654.0,0.0,0.0,0.0
400,1602572054.561453,663.0,0.0,0.0,0.0
400,1602567662.807497,641.0,0.0,0.0,0.0
400,1602574863.225438,647.0,0.0,0.0,0.0
400,1602573697.702043,651.0,0.0,0.0,0.0
400,1602573771.31388,665.0,0.0,0.0,0.0
400,1602571456.684692,657.0,0.0,0.0,0.0
400,1602574678.917153,658.0,0.0,0.0,0.0
400,1602569854.435026,664.0,0.0,0.0,0.0
400,1602574414.255134,642.0,0.0,0.0,0.0
400,1602569358.270824,645.0,0.0,0.0,0.0
400,1602568406.627981,655.0,0.0,0.0,0.0
400,1602567676.4889,642.0,0.0,0.0,0.0
400,1602572518.086941,647.0,0.0,0.0,0.0
400,1602568182.255964,642.0,0.0,0.0,0.0
400,1602573007.599623,680.0,0.0,0.0,0.0
400,1602571064.596391,655.0,0.0,0.0,0.0
400,1602568572.216135,651.0,0.0,0.0,0.0
400,1602567791.577514,647.0,0.0,0.0,0.0
400,1602571709.423978,655.0,0.0,0.0,0.0
400,1602570708.553577,644.0,0.0,0.0,0.0
400,1602573009.203227,660.0,0.0,0.0,0.0
400,1602572629.643137,646.0,0.0,0.0,0.0
400,1602569349.324893,639.0,0.0,0.0,0.0
400,1602570961.172335,649.0,0.0,0.0,0.0
400,1602567849.055035,655.0,0.0,0.0,0.0
400,1602571240.075804,659.0,0.0,0.0,0.0
400,1602571545.732549,651.0,0.0,0.0,0.0
400,1602570350.76683,646.0,0.0,0.0,0.0
400,1602567650.141073,647.0,0.0,0.0,0.0
400,1602570387.879552,659.0,0.0,0.0,0.0
400,1602567649.12475,646.0,0.0,0.0,0.0
400,1602570340.66605,651.0,0.0,0.0,0.0
400,1602567654.874914,660.0,0.0,0.0,0.0
400,1602569960.165416,651.0,0.0,0.0,0.0
400,1602568210.816697,647.0,0.0,0.0,0.0
400,1602567664.612082,648.0,0.0,0.0,0.0
400,1602573784.728863,639.0,0.0,0.0,0.0
400,1602569974.460917,637.0,0.0,0.0,0.0
400,1602571918.875993,650.0,0.0,0.0,0.0
400,1602574408.941065,639.0,0.0,0.0,0.0
400,1602572680.720416,648.0,0.0,0.0,0.0
400,1602571202.215621,653.0,0.0,0.0,0.0
400,1602568400.869885,642.0,0.0,0.0,0.0
400,1602573405.206781,646.0,0.0,0.0,0.0
400,1602571924.835517,657.0,0.0,0.0,0.0
400,1602573723.816573,656.0,0.0,0.0,0.0
400,1602574233.824315,660.0,0.0,0.0,0.0
400,1602567894.291286,652.0,0.0,0.0,0.0
400,1602567712.531131,647.0,0.0,0.0,0.0
400,1602573713.510262,646.0,0.0,0.0,0.0
400,1602570259.234672,654.0,0.0,0.0,0.0
400,1602569820.822171,649.0,0.0,0.0,0.0
400,1602568404.209615,652.0,0.0,0.0,0.0
400,1602574498.932374,646.0,0.0,0.0,0.0
400,1602573879.474147,657.0,0.0,0.0,0.0
400,1602568885.680936,648.0,0.0,0.0,0.0
400,1602574852.383724,646.0,0.0,0.0,0.0
400,1602567704.375459,655.0,0.0,0.0,0.0
400,1602572129.947689,634.0,0.0,0.0,0.0
