Label,S_time,M_size,V_size,M_int,V_int
393,1602567584.544386,479.0,0.0,0.0,0.0
393,1602567585.726843,479.0,0.0,0.0,0.0
394,1602567587.986934,655.0,0.0,0.0,0.0
394,1602567589.616551,653.5,0.25,4.83889102935791,0.0
394,1602567587.41635,652.0,0.0,0.0,0.0
394,1602567586.702141,661.0,0.0,0.0,0.0
396,1602567623.422864,422.0,0.0,0.0,0.0
396,1602567621.871408,426.0,0.0,0.0,0.0
396,1602567623.805656,424.0,0.0,0.0,0.0
396,1602567631.195003,427.0,0.0,0.0,0.0
396,1602567622.64565,427.0,0.0,0.0,0.0
396,1602567615.206934,422.0,0.0,0.0,0.0
396,1602567628.304872,428.0,0.0,0.0,0.0
396,1602567631.861591,428.0,0.0,0.0,0.0
396,1602567629.591075,426.0,0.0,0.0,0.0
396,1602567618.719558,422.0,0.0,0.0,0.0
396,1602567626.782967,430.0,0.0,0.0,0.0
396,1602567618.999816,426.0,0.0,0.0,0.0
396,1602567615.966856,425.0,0.0,0.0,0.0
396,1602567620.434793,428.0,0.0,0.0,0.0
396,1602567638.077503,426.0,0.0,0.0,0.0
396,1602567627.996211,424.0,0.0,0.0,0.0
396,1602567634.874343,427.0,0.0,0.0,0.0
396,1602567615.746886,424.0,0.0,0.0,0.0
396,1602567632.463007,426.0,0.0,0.0,0.0
396,1602567614.677627,429.0,0.0,0.0,0.0
396,1602567621.014903,422.0,0.0,0.0,0.0
396,1602567630.73596,430.0,0.0,0.0,0.0
396,1602567614.179812,426.0,0.0,0.0,0.0
396,1602567627.567073,426.0,0.0,0.0,0.0
396,1602567612.86347,428.0,0.0,0.0,0.0
396,1602567638.700657,424.0,0.0,0.0,0.0
396,1602567625.454921,429.0,0.0,0.0,0.0
396,1602567612.738612,425.0,0.0,0.0,0.0
396,1602567624.660133,426.0,0.0,0.0,0.0
396,1602567622.120583,427.0,0.0,0.0,0.0
396,1602567625.774968,422.0,0.0,0.0,0.0
396,1602567625.602906,429.0,0.0,0.0,0.0
396,1602567617.646824,423.0,0.0,0.0,0.0
396,1602567632.346822,420.0,0.0,0.0,0.0
396,1602567629.227368,429.0,0.0,0.0,0.0
396,1602567616.331871,425.0,0.0,0.0,0.0
396,1602567620.698915,423.0,0.0,0.0,0.0
396,1602567612.674297,429.0,0.0,0.0,0.0
396,1602567617.383867,421.0,0.0,0.0,0.0
396,1602567619.836657,424.0,0.0,0.0,0.0
396,1602567617.295054,430.0,0.0,0.0,0.0
396,1602567619.070864,422.0,0.0,0.0,0.0
