Label,S_time,M_size,V_size,M_int,V_int
393,1602567587.134893,470.0,0.0,0.0,0.0
393,1602567585.455816,480.0,0.0,0.0,0.0
393,1602567585.882803,480.0,0.0,0.0,0.0
393,1602567588.214873,473.0,0.0,0.0,0.0
394,1602567587.626597,651.0,0.0,0.0,0.0
394,1602567588.358879,653.0,0.0,0.0,0.0
394,1602567590.394939,652.5,6.25,4.878720998764038,0.0
394,1602567589.802837,653.5,6.25,4.80811619758606,0.0
396,1602567616.347652,428.0,0.0,0.0,0.0
396,1602567622.354941,427.0,0.0,0.0,0.0
396,1602567630.272615,425.0,0.0,0.0,0.0
396,1602567622.019469,424.0,0.0,0.0,0.0
396,1602567623.99254,421.0,0.0,0.0,0.0
396,1602567631.20143,429.0,0.0,0.0,0.0
396,1602567628.779046,422.0,0.0,0.0,0.0
396,1602567614.829021,435.0,0.0,0.0,0.0
396,1602567628.907016,420.0,0.0,0.0,0.0
396,1602567625.850865,426.0,0.0,0.0,0.0
396,1602567617.800198,425.0,0.0,0.0,0.0
396,1602567625.760491,431.0,0.0,0.0,0.0
396,1602567613.24962,426.0,0.0,0.0,0.0
396,1602567613.138672,425.0,0.0,0.0,0.0
396,1602567628.372016,421.0,0.0,0.0,0.0
396,1602567619.367711,431.0,0.0,0.0,0.0
396,1602567637.375935,425.0,0.0,0.0,0.0
396,1602567616.2189,422.0,0.0,0.0,0.0
396,1602567615.134813,427.0,0.0,0.0,0.0
396,1602567635.256113,426.0,0.0,0.0,0.0
396,1602567621.193323,424.0,0.0,0.0,0.0
396,1602567632.312174,429.0,0.0,0.0,0.0
396,1602567627.91885,422.0,0.0,0.0,0.0
396,1602567624.661524,426.0,0.0,0.0,0.0
396,1602567627.053427,423.0,0.0,0.0,0.0
396,1602567639.119142,427.0,0.0,0.0,0.0
396,1602567629.823411,428.0,0.0,0.0,0.0
396,1602567620.002809,425.0,0.0,0.0,0.0
396,1602567631.448209,425.0,0.0,0.0,0.0
396,1602567632.755702,424.0,0.0,0.0,0.0
396,1602567636.742454,431.0,0.0,0.0,0.0
